,SCORE,,,390,100%
 64 ,"ONE OF THE FOLLOWING CONSISTS OF AN AREA OF LAND WHICH IS GENERALLY DEVELOPED BASED ON A COMPREHENSIVE PLAN, ALLOCATED FACTORY BUILDINGS EIT~ER SOLD OR LEASED FOR MANUFACTURING PURPOSES.
A. INDUSTRIAL ESTATE
B. INTEGRATED AREA DEVELOPMENT
C. INDUSTRIAL SUBDIVISION
D. COMMERCIAL/INDUSTRIAL ESTATE",A,A,Correct,1
 65 ,"AN URBAN AREA WHICH HAS THE FF. CHARACTERISTICS: IT HAS STRONG LINKAGE WITH THE ECONOMY, IT IS THE CENTER OF THE LABOR MARKET· IT IS A MAJOR WHOLESALE & RETAIL TRADE AREA; IT HAS A HIGH LEVEL OF TERTIARY FUNCTIONS; HAS GOOD U~BAN SYSTEM; AND HAS A POPULATION LESS THAT 250,00 IS CALLED:
A. GROWTH CENTER
B. METROPOLITAN AREA
C. MAJOR URBAN CENTER
D. MINOR URBAN CENTER",A,A,Correct,1
 66 ,"A RATIO THAT MEASURES OUTPUT PER WORKER IS CALLED:
A. LABOR INTENSITY
B. LABOR PRODUCTIVITY
C. EFFICIENCY
D. LABOR ENHANCEMENT",B,B,Correct,1
 67 ,"THE ENFORCEMENT OF PD-1308 AS WELL AS THE MONITORING AND INSPECTION OF EDUCATION INSTITUTIONS OFFERING COURSES IN ENVIRONMENTAL PLANNING IS THE RESPONSIBILITY OF:
A. COMMISSION ON HIGHER EDUCSTION
B. PHILIPPINE INSTITUTE OF ENVIRONMENTAL PLANNERS
C. BOARD OF ENVIRONMENTAL PLANNING
D. SCHOOL OF URBAN AND REGIONAL PLANNING",C,C,Correct,1
 68 ,"A CONSULTING FIRM, PARTNERSHIP, COMPANY OR ASSOCIAATION MAY ENGAGE IN THE PRACTICE OF ENVIRONMENTAL PLANNING IN THE PHILS., PROVIDED THAT:
A. AT LEAST 75% OF THE ENTIRE MEMBERSHIP OF THE BOARD OF THE ENTITY SHALL BE REGISTERED ENVIRONMAL PLANNERS
B. AT LEAST 70% OF THE TOTAL CAPITALIZATION OF THE ENTITY IS OWNED BY REGISTERED ENVIRONMAL PLANNERS
C. AT LEAST 70% OF THE ENTIRE MEMBERSHIP OF THE BOARD IS COMPOSED OF En P's AND 75% OF THE CAPITALIZATION IS OWNED BY THEM
D. AT LEAST 75% OF THE ENTIRE MEMBERSHIP AND 75% OF THE CAPITALIZATION IS OWNED BY REGISTERED ENVIRONMENTAL PLANNERS",D,D,Correct,1
 69 ,"THE PRACTICE OF ENVIRONMENTAL PLANNING WITHIN THE PROVISIONS OF PD-1308 DOES NOT INVOLVE ONE OF THE FF.: 
A. SITE AND LAND USE PLANNING 
B. CITY /TOWN PLANNING
C. FAMILY PLANNING 
D. NONE OF THE ABOVE",C,C,Correct,1
 70 ,"DEMOGRAPHY DENOTES THE STUDY OF HUMAN POPULATION THROUGH STATISTICAL METHODS. THIS INVOLVES PRIMARILY THE MEASUREMENT OF THE SIZE AND INCREASES AND DECREASES OF THE NUMBERS OF PEOPLE. THE CONSTITUENTS OF THE CHANGE OF THESE NUMBERS:
A. BIRTHS AND DEATHS
B. BIRTHS DEATHS AND MIGRATION
C. BIRTHS, ADOPTION, MARRIAGE, DIVORCE, LEGAL SEPARATION AND ANNULMENT
D. BIRTH, CJTIZENSHIP, DURATION OF MARRIAGE AND ETHNIC ORIGIN",B,B,Correct,1
 71 ,"UNDER THE CONCEPT OF URBANIZED AREAS ARE DEFINED IN THE PHIL. CENSUS OF POPULATION AND HOUSING OF 1990, CENTRAL DISTRICTS OF MUNICIAPUTIES AND CITIES HAVE A POPULATION DENSITY OF AT LEAST:
A. 100 PERSONS PER SQUARE KILOMETER
B. 250 PERSONS PER SQUARE KILOMETER
C. 500 PERSONS PER SQUARE KILOMETER
D. 1,000 PERSONS PER SQUARE KILOMETER",C,C,Correct,1
 72 ,"CERTAIN ENVIRONMENTAL FACTORS AFFECT POPULATION DISTRIBUTION AT A GIVEN POINT IN TIME. THEY ARE:
A. CLIMATE
B. LOCATION OF WATER, SOIL,. ENERGY AND MINERAL RESOURCES
C. TRANSPORT RELATIONSHIPS
D. All OF THE BOVE",D,D,Correct,1
 73 ,"SEX RATIO IS DEFINED AS:
A. THE NUMBER OF FEMALES DIVIDED BY THE NUMBER OF MALES, TIMES 100
B. THE NUMBER OF MALES DIVIDED BY THE NUMBER OF FEMALES, TIMES 100
C. THE NUMBER OF MALES DIVIDED BY THE NUMBER OF MALES, TIMES 10
D. THE NUMBER OF FEMALES DIVIDED BY THE NUMBER OF MALES, TIMES 10",B,B,Correct,1
 74 ,"THOMAS ROBERT MALTHUS WAS THE FIRST ONE WHO FIRST CONCLUDED THAT:
A. THE MEANS OF SUBSISTENCE GREW ONLY AT AN ARITHMETIC RATE
B. THE MEANS OF SUBSISTENCE AND POPULATION BOTH GREW AT AN ARITHMETIC RATE
C. THE MEANS Of SUBSISTENCE AND POPULATION GREW AT AN GEOMETRIC RATE
D. THE MEANS OF SUBSISTENCE GREW ONLY AT AN ARITHMETIC RATE WHEREAS THE POPULATION TENDED TO GROW AT A GEOMETRIC RATE",D,D,Correct,1
 75 ,"WHEN THE AGE AND SEXCOMPOSffiONS OF MOST POPULATIONS ARE PLOTIED GRAPHICALLY, THE RESULT IS A ""POPULATION PYRAMIO"", THE BROAD BASE REPRESENTS THE YOUNGEST AGES, AND THE SIDES GRADUALLY SLOPE TOWARD A POINT, REPRESNTJNG THE DECREASE BROUGHT ABOUT BY DEATHS IN EACH SUCESSIVE AGE GROUP. THE PYRAMID REPRESENTS:
A. A STATISTICS PICTURE BECAUSE IT FREEZES THE CONTINOUS ACTION OF MORTALITY, FERTILITY, AND MIGRATION AT A PARTICULAR MOMENT IN TIME
B. A UNIFORM INCREASE IN All AGE BRACKETS OVER A PERIOD OF TIME.
C. MIGRATION ANO FERTILITY TRENDS
D. All Of THE ABOVE",A,A,Correct,1
 76 ,"IN MANY METAOPOUTAN CENTERS IN THE DEVELOPING WORLD, THE LARGEST COMPONENT OF URBAN POPULATIOH GROWTH IS:
A. BIRT 
B. IN-MIGRATION 
C. INCREASE IN TERRITORIAL 
D. NONE OF THE ABOVE",B,B,Correct,1
 77 ,"METRO MANILA IS CONSIDERED A PRIMATE CITY BECAUSE:
A. IT IS THE HIGHEST URBAN CENTER OF THE COUNTRY
B. IT CONTAINS THE COUNTRY'S PRIMARY CENTRAL BUSSINESS DISTRICT
C. IT HAS A VERY LARGE POPULATION COMPARED TO ALL OTHER URBAN CENTERS OF THE COUNTRY
D. IT IS A METROPOLITAN CENTER",C,C,Correct,1
 78 ,"ANCESTRAL DOMAIN REFERS TO AREAS THAT: SAND NATURAL
A. BELONGS TO ICCs/IPPs COMPRISING LANDS, INLAND WATERS, COASTAL AREA RESOURCES THEREIN
B. ARE WITHIN PROTECTED AREAS WHICH HAVE ACTUALLY BEEN OCCUPIED BY COMMUNITIES FOR 5 YEARS BEFORE THE DESIGNATION OF THE SAME AS PROTECTTED AREAS IN ACCORDANCE WITH THE NIPAS ACT                                          C. ARE SET ASIDE TO ALLOW THE WAY OF LIFE OF SOCIETIES LIVING IN HARMONT WITH THE ENVIRONMENT TO ADAPT TO MODERN TECHNOLOGY AT THEIR PACE
D. ARE EXTENSIVE AND RELATIVELY ISOLATED AND UNINHABITED AREA NORMALLY WITH DIFFICULT ACCESS. ",A,A,Correct,1
 79 ,"THE LAW THAT PROVIDES FOR THE ESTABLISHMENT THE MANAGEMENT OF NATIONAL INTEGRATED PROTECTED AREAS SYSTEM IS:
A. RA8371
B. RA 7586
C. RA 7279
D. NONE OF THE ABOVE ",B,B,Correct,1
 80 ,"RA-8435 OF THE AGRICULTURE AND FISHERY MODERNIZATION ACT (AFMA) OF 1997 STRIVES TO PROVIDE FULL AND ADEQUATE SUPPORT TO THE SUSTAINABLE DEVELOPMENT OF A HIGHLY MODERNIZED AGRICULTURE AND FISHERY INDUSTRY IN THE PHILS. UNDER AFMA, ONE OF THE FF. HAS BEEN DE-PRIORITIZED:
A. IDENTIFICATION AND ESTABLISHMENT OF MODEL FARMS
B. ON-FARM PRODUCTION ENHANCEMENT TECHNOLOGIES
C. SMALL SCALE IRRIGATION SYSTEMS
D. RESEARCH, DEVELOPMENT AND TRAINING FACILITIES",B,B,Correct,1
 81 ,"ALONG WITH THE NETWORK OF PROTECTED AREAS FOR AGRICULTURE & AGRO-INDUSTRIAL DEVELOPMENT (NPAAAD), IT PROVIDES THE PHYSICAL BASIS FOR THE PLANNING OF SUSTAINABLE AGRICULTURE AND FISHERY DEVELOPMENT AND IN THE IDENTIFICATION OF SUITABLE CROPS, LIVESTOCK AND FISHES THAT CAN BE ECONOMICALLY GROWN AND COMMERCIALLY DEVELOPED FOR LOCAL AND INTERNATIONAL MARKETS WITHOUT CREATING IRREVERSIBLE ENVIRONMENTAL AND HUMAN HELATH PROBLEMS.
A. THE WATERSHED AREAS
B. COMPREHENSIVE LAND USE PLAN
C. INTEGRATED AREA DEVELOPMENT
D. STRATEGIC AGRICULTURE AND FISHERY DEVELOPMENT ZONE",D,D,Correct,1
 82 ,"THE FACTORS FOR ANALYZING TRADITIONAL LOCATION THEORY ARE:
A. THE COST OF MARKETING AND ADVERTISING
B. LABOR WAGES
C. THE COST OF TRANSPORTING RAW MATERIALS TO THE FACTORY AND FINISHED GOODS TO THE MARKET
D. ALL OF THE ABOVE",C,C,Correct,1
 83 ,"IF THE Gini Coefficient OF AN INDUSTRY'S DISTRIBUTION IS CLOSE TO ZERO, IT SUGGESTS THAT:
A. THE DISTRIBUTION OF THE INDUSTRY IN THE REGION IS VERY CONCENTRATED
B. THE DISTRIBUTION OF THE INDUSTRY IN THE REGION IS DISPERSED
C. THE DISTRIBUTION OF THE INDUSTRY IN THE REGION DOES NOT DEVIATE MUCH FROM THE DISTRIBUTION OF OTHER INDUSTRIES
D. THE REGION HAS A LARGER SHARE OF THE INDUSTRY RELATIVE TO OTHER REGIONS",C,C,Correct,1
 84 ,"LAND USE CHANGES IN LARGE AND DEVELOPED CITIES IS LARGELY A FUNCTION (RESULT) OF:
A. GOVERNMENT LAND USE AND ZONING POLICIES
B. EXISTING AND EXPECTED LAND VALUES
C. DEMAND FOR HOUSING
D. FOREIGN INVESTMENTS",B,B,Correct,1
 85 ,"THE BEST MEASURE OF THE PROJECT'S ECONOMIC WORTHINESS AND ITS ADAPTATION AS A BASIS FOR PROJECT ACCEPTABILITY IS:
A. NET PRESENT VALUE
B. DISCOUNTED RATE
C. EIR {ECONOMIC INTERNAL RATE)
D. FIRR (FINANCIAL INVESTMENT RETURN RATE)",A,A,Correct,1
 86 ,"THE STANDARD DISTANCE OF A COMMERCIAL ACTIVITY FROM AN EDUCATION CENTER SHOULD BE
A. 15 MINS BY PUBLIC TRANSPORT
B. 15 MINS BY PRIVATE TRANSPORT
C. 30 MINS BY MIN. TRAVEL TIME BY PUBLIC TRANSPORT
D. 60 MINS TRAVEL TIME BY PUBLIC TRANSPORT",A,A,Correct,1
 87 ,"A TOOL OF ANAYLYSIS DEVELOPED AS AN EFFECTIVE WAY OF CHOOSING BETWEEN ALTERNATIVE PLANNING OPTIONS BY ENSURING THE OPTIMUM ALLOCATION OF AVAILABLE RESOURCES AND MAXIMUM WELFARE TO THE COMMUNITY IS:
A. COST-BENEFIT ANALYSIS
B. LINEAR PROGRAMMING
C. SHIFT-SHARE ANALYSIS
D. SENSITIVITY ANALYSIS",A,A,Correct,1
 88 ,"LAND USE CONVERSION IS LIMITED BY RECLASSIFICATION CEILING UNDER VARIOUS LEGAL ISSUANCES, e.g., LOCAL GOVT CODE. UNDER THE AFMA, ONLY 5% OF THE SAFDDC AREAS MAYBE CONVERTED TO OTHER USES, WHILE THE LDC LIMITS TO:
A. 15% OF THE AGRICULTURAL LAND IN HIGHLY URBANIZED AND INDEPENDENT COMPONENT CITIES
B. 10% OF TOTAL ARABLE LAND IN ANY TOWN
C. 5% OF TOTAL ARABLE LAND IN THE CITY
D. ALL OF THE ABOVE",A,A,Correct,1
 89 ,"THE FIRST INDUSTRIAL ESTATE IN THE COUNTRY, WHICH BECAME OPERATIONAL IN 1972, WAS THE:
A. BATMNIE
B. DASMARINAS IE
C. MACTAN IE
D. SAPANG PALAY IE",A,A,Correct,1
 90 ,"THIS IS THE FIRST PLACE WHERE THE FIRST EXPORT PROCESSING ZONE IN THE WORLD WAS ESTABLISHED. 
A. PUERTO RICO
B. INDIA 
C. TAIWAN 
D. KOREA",A,A,Correct,1
 91 ,"THIS STRATEGY AIMS TO PROMOTE GREATER COMPLEMENTARY BE BETWEEN URBAN AND RURAL SECTORS.
A. COUNTRYSIDE AGRO-INDUSTRIAL DEVELOPMENTS
B. NATIONAL COUNCIL FOR INTEGRATED AREA DEVELOPMENT
C. NATIONWIDE AGRO-INDUSTRIAL AREA DEVELOPMENT
D. NONE OF THE ABOVE",A,A,Correct,1
 92 ,"THIS STRATEGY REFERS TO A SITUATION WHERE AN INDUSTRY THROUGH THE F CHNICALLY RELATED TO IT, STIMULATES THAT DEVELOPMENT AND GROWTH OF THE INDUSTRIES THAT ARE TE EASEE OF THE REGIONAL AND DETERMINES THE PROSPERITY OF THE TERTIARY SECTOR OR STIMULATES AN INCR INCOME.
A. GROWTH POLE
B. INDUSTRIAL POLARIZATION
C. INDUSTRIAL DECENTRALIZATION
D. INDUSTRIAL LOCATION",A,A,Correct,1
 93 ,"EBENEZER HOWARD, THE MOST INFLUENTIAL AMONG THE GREAT THINKERS IN MODERN URBAN AND REGIONAL PLANNING, WROTE THIS FAMOUS BOOK, FIRST PUBLISHED IN 1898.
A. GARDEN CITIES
B. GARDEN OF TOMORROW
C. TOMORROW CITIES
D. GARDEN CITIES OF TOMORROW",D,D,Correct,1
 94 ,"PATRICK GEDDES, A SCOT BIOLOGIST WHO IS ACKNOWLEDGE AS THE FATHER OF THE REGIONL PLANNING SET FORTH HIS IDEAS IN HIS MASTERPIECE ENTITLED:
A. CITIES AND REGIONS
B. CITIES IN EVOLUTION
C. CITIES IN EVOLUTIONARY CHANGE
D. REVOLUTION IN CITIES",B,B,Correct,1
 95 ,"KEVIN LYNCH STRESSES:
A. A CONCEPTUAL SYSTEM FOCUSING ON URBAN FORM
B. A COMMUNICATIONS THEORY APPROACH TO URBAN GROWTH
C. ACCESSIBILITY CONCEPTS AND URBAN STRUCTURE
D. URBAN SPATIAL STRUCTURE IN THE FRAMEWORK OF EQUILIBRIUM THEORY (AN ECONOMIC MODEL OF SPATIAL STRUCTURE)",A,A,Correct,1
 96 ,"ALBERT Z. GUTTERBERG SPECULATES:
A. A CONCEPTUAL SYSTEM FOCUSING ON URBAN FORM
B. A COMMUNICATIONS THEORY APPROACH TO URBAN GROWTH
C. ACCESSIBILITY CONCEPTS AND URBAN STRUCTURE
D. URBAN SPATIAL STRUCTURE IN THE FRAMEWORK OF EQUILIBRIUM THEORY (AN ECONOMIC MODEL OF SPATIAL STRUCTURE)",C,C,Correct,1
 97 ,"BASED ON THE PRINCIPLE OF DEVOLUTION OF POWERS TO LOCAL GOVT UNITS, THE NATIONAL GOVT TRANSFERS THESE FUNDS TO LGUs FOR THEIR ADMINISTRATIVE, PUBLIC ORDER AND SAFTY OPERATIONS. 
A. INTERNAL REVENUE ALLOTMENTS
B. BUDGETARY ALLOCATIONS 
C. LOCAL DEVELOPMENT ALLOTMENTS 
D. LGU BUDGETARY ALLOTMENTS",A,A,Correct,1
 98 ,"MORBIDITY REFERS TO:
A. DEATHS PER 1,000 POPULATION
B. DEATHS PER 10,000 POPULATION
C. DEATH DUE TO DISEASE
D. INCIDENCE OF DISEASE",D,D,Correct,1
 99 ,"BECAUSE NSO AGE GROUPINGS DO NOT COINCIDE WITH SCHOOL-GOING AGE POPULATION FOR PRIMARY, INTERMEDIATE, SECONDARY AND TERTIARY, TIS METHOD IS USED TO DISAGGREGATE THE SCHOOL AGE POPULATION WITHIN A BRACKET INTO A SINGLE YEAR TIME ESTIMATE:
A. SPRAGUE MULTIPLIER
B. SPRENGUER MULTIPLIER
C. EXTRAPOLATION COEFFICIENT
D. INTERPOLATION COEFFICIENT",A,A,Correct,1
 100 ,"PLANNING STANDARDS FOR SCHOOL FACILITIES INCLUDE MIN STANDARDS FOR SPACE MEASURED IN TERMS OF SQM. PER PUPIL (p.p) FOR ACADEMIC CLASSROOMS IN THE ELEMENTARY LEVEL THE MIN STANDARD IS:
A. 1.20 SQM PER P.P
B. 1.40 SQM PER P.P
C. 1.50 SQM PER P.P
D. 1.75 SQM PER P.P",A,A,Correct,1
 101 ,"STANDARDS FOR FIREFIGHTING SERVICES PRESCRIBE THAT MUNICIPALITIES WITH 10,000 OR MORE POPULATION BUT BELOW 50,000 SHOULD PROVIDE AT LEAST ONE FIRE TRUCK. ADJOINING MUNICIPALITIES, HOWEVER, ARE ALLOWED TO SHARE ONE FIRE TRUCK PROVIDED THAT THE DISTANCE IS WITHIN PRESCRIBED LIMITS. IN SUCH CASES, THE MAXIMUM TRAVEL TIME BETWEEN MUNICIPALITIES SHOULD BE:
A. 10 MINS
B. 15 MINS
C. 20 MINS
D. 30 MINS",A,A,Correct,1
 102 ,"IN THE IDENTIFICATION OF NEEDS AND THE PLANNING OF SOCIAL WELFARE PROGRAMS AND SERVICES, THE PLANNER IS EXPECTED TO:
A. INVOLVE THE CLIENTELE
B. INVOLVE THE NATIONAL AND LOCAL GOVERNMENTS
C. INVOLVE THE PRIVATE SECTOR
D. INVOLVE All SECTORS MENTIONED ABOVE",D,D,Correct,1
 103 ,"THE LAW THAT AUTHORIZES THE ESTABLISHMENT AND PROMULGATION OF DIFFERENT LEVELS OF STANDARDS OF ECONOMIC ANO SOCIALIZED HOUSING IN URBAN AND RURAL AREAS PROVIDED UNDER THE SUBDIVISION AND CONDOMINIUM BUYERS PROTECTIVE DECREE AND THE NATIONAL BUILDING CODE IS:
A. BP 220
B. RA 7279
C. PD 957
D. PD 1216",A,A,Correct,1
 104 ,"WHAT RATIO BETWEEN SALEABLE AND NON-SALEABLE FOR PARTITIONS OF THE SUBDIVISION IS REQUIRED FOR 
PROJECTS DEVELOPED UNDER BP 220 STANDARDS?
A. NO FIXED RATIO
B. 70% SALEABLE AND 30% NON-SALEABLE
C. 40% SALEABLE AND 60% NON-SALEABLE
D. MINIMUM OF 50% OPEN SPACE",A,A,Correct,1
 105 ,"A SINGLE DETACHED DWELLING UNIT IS DEFINED AS A HOUSE.
A. GOOD FOR ONE HOUSEHOLD HELP
B. INTENDED FOR OWNERSHIP
C. COMPLETELY SURROUNDED BY YARDS
D. WITH ONE OR MORE OF ITS SIDES ABUTIING THE PROPERTY LINE",C,C,Correct,1
 106 ,"A STUDY WHICH INCLUDES ALL THE UNITS IN THE POPULATION IS CALLED:
A. HOLISTIC STUDY
B. PHENOMENOLOGICAL
C. SURVEY
D. CENSUS",D,D,Correct,1
 107 ,"THE DIFFERENCE BETWEEN A CENSUS AND A SURVEY IS THAT:
A. CENSUS MAKES USE OF QUESTIONNAIRES WHILE SURVEYS MAKE USE OF INTERVIEWS FOR DATA GATHERING
B. CENSUS INVOLVES COMPLETE ENUMERATION WHILE SURVEYS INVOLVES SAMPLING
C. CENSUS IS DONE ONLY EVERY 10 YEARS WHILE SURVEY CAN BE DONE ANYTIME
D. ONLY NSO CAN CONDUCT A CENSUS BUT ANYBODY CAN CONDUCT A SURVEY",B,B,Correct,1
 108 ,"THIS TYPE OF PLAN SHOWS THE ALLOCATION OF LAND INTO BROAD FUNCTIONAL CLASSES, e.g., DEVELOPMENTAL AREAS, CONSERVATION/PRESERVATION AREAS, AGRICULTURAL AREA AND FOREST AREAS.
A. STRUCTURE PLAN
B. GENERAL LAND USE PLAN
C. DEVELOPMENT PLAN
D. COMPREHENSIVE PLAN",B,B,Correct,1
 109 ,"AGRICULTURAL LAND IN ITS GENERIC SYNONYMOUS WITH THAT BASIC LAND CLASSIFICATION?
A. TIMBERLAND
B. UNCLASSIFIED PUBLIC FOREST
C. ALIENABLE AND DISPOSABLE
D. ANCESTRAL DOMAIN
E. CRITICAL WATERSHED",C,C,Correct,1
 110 ,"WHICH OF THE FOLLOWING IS NOT A FACTOR IN DETERMINING THE SUITABILITY OF LAND FOR AN INDUSTRIAL ESTATE:
A. LOAD-BEARING CAPACITY
B. SOIL FERTILITY
C. DRAINAGE
D. SLOPE
E. LOCATION",B,B,Correct,1
 111 ,"THE 1987 CONSTITUTION SEEKS TO CLASSIFY ALL LANDS IN THE PUBLIC DOMAIN INTO FOUR CATEGORIES. NAME THE ONE THAT IS NOT AMONG THE FOUR.
A. AGRICULTURAL LAND 
B. MINERAL LAND 
C. NATIONAL PARK 
D. ANCESTRAL DOMAIN 
E. FOREST LAND",D,D,Correct,1
 112 ,"WHICH OF THE MAPS LISTED BELOW IS NOT A THEMATIC MAP:
A. BASE MAP
B. LAND USE MAP
C. SLOPE MAP
D. GEOLOGIC MAP
E. PHYSICAL CONSTRAINT MAP",A,A,Correct,1
 113 ,"WHAT CLASS OF ROAD IS NOT PART OF A HIEARCHY:
A. ARTERIAL
B. COLLECTOR
C. DISTRIBUTOR
D. GRAVELSURFACED
E. LOCAL",D,D,Correct,1
 114 ,"WHICH LAND USE lYPE IS NORMALLY NOT CLASSIFIED AS URBAN:
A. INSTITUTIONAL
B. RESIDENTIAL
c. MINING & QUARRYING
D. INDUSTRIAL
E. COMMERCIAL",C,C,Correct,1
 115 ,"THE MAIN REGULATORY TOOL FOR IMPLEMENTING LAND USE PLAN IN THE PHILS. IS:
A. CAPITAL INVESTMENT PROGRAMS
B. SPECIAL ASSESSMENTS
C. EXPLORATION
D. ZONING",D,D,Correct,1
 116 ,"THE AGENCY THAT IMPLEMENTS THE LAWS, RULES AND REGULATIONS THAT SUPPORT POLICIES OF GVT WITH REGARDS TO OPTIMIZING THE USE OF LAND AS A RESOURCE IS:
A. NEDA
B. DAR
C. HLURB
D. DPWH",C,C,Correct,1
 117 ,"THE AGENCY RESPONSIBLE FOR COORDINATING THE HOUSING PROGRAM IS:
A. NHA
B. HUDCC
C. HLURB
D. MMDA",B,B,Correct,1
 118 ,"THE MINIMUM LOT UNDER PD 957 IS:
A. lOOSQM
B. 72SQM
C. lSOSQM
D. 120SQM",A,A,Correct,1
 119 ,"THE PROCESS OF ARRANGING ACTIVITIES AND PLANS AMONG DIFFERENT INTEREST OR PLANNING GROUPS FOR THE PURPOSE OF SYSTEMATIZING, HARMONIZING AND FACILITATING OPERATIONS IS CALLED:
A. PUBLIC HEARING
B. CONSULTATION
C. COORDINATION
D. SCOPING",C,C,Correct,1
 120 ,"THE PROCESS OF OBTAINING TECHNICAL ADVICE OR OPINION WHICH MAY OR NOT BE FOLLOWED IS CALLED:
A. CONSULTATION
B. COORDINATION
C. PUBLIC HEARING
D. CITIZEN PARTICIPATION",A,A,Correct,1
 121 ,"THIS DOCUMENT IS A SERIES OF WRITIEN STATEMENTS ACCOMPANIED BY MAPS, ILLUSTRATION AND DIAGRAMS WHICH DESCRIBES WHAT THE COMMUNITY WANTS TO DEVELOP. IT IS ESSENTIALLY COMPOSED OF COMMUNITY GOALS: OBJECTIVES, POLICIES, PROGRAMS AND A PHYSICAL DEVELOPMENT PLAN WITHIN TRANSLATE THE VARIOUS SECTORAL PLANS.
A. LAND USE PLAN
B. ACTION PLAN
C. STRATEGIC PLAN
D. DEVELOPMENT PLAN",D,D,Correct,1
 122 ,"THIS THE PROCESS OF APPRAISING THE FEASIBILITY, CREDIBILITY AND PROBABLE IMPACTS OR CONSEQUENCES OF ALTERNATIVE SCHEMES OF DEVELOPMENT OR SPECIFIC ENVIRONMENTAL CONDITIONS.
A. ENVIRONMENTAL IMPACT ASSESSMENT
B. EVALUATION
C. DIAGNOSTIC SURVEY
D. FEASIBILITY STUDY",B,B,Correct,1
 123 ,"ONE OF THESE PLANS rs NOT REQUIRED UNDER AFMA
A. REGIONAL AGRO-INDUSTRIAL DEVELOPMENT PLAN
B. THE SAFDZ INTEGRATED DEVELOPMENT PLAN
C. THE AGRICULTURE AND FORESTRY MODERNIZATION PLAN
D. NONE OF THE ABOVE",A,A,Correct,1
 124 ,"IT IS THE PROCESS OF PREDICTING THE LIKELY ENVIRONMENTAL CONSEQUENCES OF IMPLEMENTING A PROJECT OR UNDERTAKING AND DESIGNING APPROPRIATE PREVENTIVE, MITIGATING AND ENHANCEMENT MEASURES.
A. SCOPING
8 . INITIAL ENVIRONMENTAL EXAMINATION
C. ENVIRONMENTAL IMPACT ASSESSMENT
D. ENVIRONMENTAL RISK ASSESSMENT",C,C,Correct,1
 125 ,"IN TRANSPORTATION PLANNING, THE COLLECTION OF DATA IS UNDERTAKEN THROUGH DIFFERENT TYPES OF SURVEYS. THE MANUAL COUNTING AND CLASSIFYING, BY TYPE OF VEHICLE AND DIRECTION OF TRAVEL, ALL PASSING EACH STATION DURING SPECIFIC PERIODS, SUPPLEMENTED BY AUTOMATION TRAFFIC RECORDER COUNTS EXTENDING OVER LONGER PERIODS IS CALLED: 
A. TRAVEL TIME SURVEYS 
B. ROADSIDE SURVEY
C. NETWORK INVENTORIES 
D. ZONING",B,B,Correct,1
 126 ,"THIS IS ONE OF THE METHODS OF TRIP GENERATION MODELLING, WHICH IS CONCERNED WITH FINDING THE BEST FUNCTIONAL RELATIONSHIP BETWEEN A DEPENDENT VARIABLE AND MORE INDEPENDENT VARIABLES. THIS RELATIONSHIP IS USUALLY ASSUMED TO BE LINEAR.
A. ANALYSIS OF VARIANCE
B. MULTIPLE REGRESSION
C. CATEGORY ANALYSIS
D. SITUATIONALANALYSIS",B,B,Correct,1
 127 ,"THIS IS A METHOD OF TRIP ASSIGNMENT WHICH TAKES INTO ACCOUNT CONGESTION ON THE TRANSPORTATION SYSTEM. IT IS THE PROCESS OF DETERMINING A PATIERN OF TRAFFIC FLOW FOR A KNOWN SET OF INTERZONAL MOVEMENTS SO THATTHE RELATIONSHIP BETWEEN JOURNE TIME AND FLOW IN EVERY LINK IN THE NETWORK SHOULD BE IN ACCORDANCE WITH THAT SPECIFIED FOR THE LINK.
A. DIVERSION CURVES
B. ALL-OR-NOTHING ASSIGNMENT
C. CAPACITY RESISTANT
D. NONE OF THE ABOVE",C,C,Correct,1
 128 ,"THESE ARE LANDS THAT ARE CAPABLE OF SUSTAINING THE ECONOMIC PRODUCTIVITY LEVELS OF CROPS/LAND USE OVER GIVEN TIME IN A CLIMATIC REGION WITHOUT ADVERSELY AFFECTING THE IMMEDIATE AND ADJOINING ENVIRONMENT.
A. INDIGENOUS AREAS
B. PRIME AGRICULTURAL
C. ENVIRONMENTALLY CRITICAL AREAS
D. AGRO-INDUSTRIAL ZONES",B,B,Correct,1
 129 ,"AREAS GENERALLY BELONGING TO ICC's/IP's SUBJECT TO PROPERTY RIGHTS WITHIN ANCESTRAL DOMAIN:
A. INDIGENOUS AREAS
B. CULTURAL MINORITY
C. ANCESTRAL AREAS
D. ANCESTRAL DOMAINS",D,D,Correct,1
 130 ,"THIS REFERS TO A UTILE FORMALLY RECOGNIZING THE RIGHTS OF POSSESSION AND OWNERSHIP OF ICC's/IP's OVER THEIR ANCESTRAL DOMAINS IDENTIFIED IN ACCORDANCE WITH THE LAW.
A. TORRENS TITLE
B. INDIGENOUS PEOPLE TITLE
C. LAND TITLE
D. CERTIFICATE OF ANCESTRAL DOMAIN",D,D,Correct,1
 131 ,"THE FOLLOWING OPERATING PRINCIPLES ARE ADHERED TO UNDER THE INDIGENOUS PEOPLE'S RIGHTS ACT, EXCEPT:
A. BIODIVERSITY
B. CAREER DEVELOPMENT OF IP's
C. PROTECTION OF THE ENVIRONMENT
D. CULTURAL DIVERSITY AND INTEGRITY, CONSENSUS AND PEACE BUILDING AND HUMAN DIGNITY",B,B,Correct,1
