,SCORE,,,190,96%
 107 ,"The following can be considered as the contribution of the Spanish Period to Philippine planning knowledge:
i. lntramuros;
ii. The Plaza Complex;
iii. The Grid Layout;
iv. Churches;
v. Friar Lands
                                                                                                                                                                a. ii & iii        b. iv, v & ii         c. iii, iv & v          d. iv, v & i ",B,b,Correct,1
 108 ,"The Torrens Title System which entrenched the concept of absolute private ownership land in the Philippines is a legacy from what colonial period of Philippine History?
a. Spanish                        c. Japanese
b. American                      d. British ",B,b,Correct,1
 109 ,"He was the partner of Daniel Burnham in the preparation of the plans for Manila and Baguio.
a. Cameron Forbes           c. Pierce Anderson
b. Charles Moore              d. Elihu Root ",C,c,Correct,1
 110 ,"Public Lands Act of 1903 granted homesteads to 1.4 million filipino families covering 5.3 million hectares, principally in:
a. Samar.lsland                c. Mindanao
b. Palawan Island             d. Negros Island ",C,c,Correct,1
 111 ,"According to Dr. Ernesto Pernia (1983), the major blunder in Philippine economic policy and industrialization strategyoccurred in the latter period of American colonial rule when
a. Free trade agreements with USA narrowed Philippine agricultural output to cash crops for export such as sugar, tobacco, hemp, coconut, palm, rice and timber.
b. Progress of the Philippine agricultural regions was directly tied to fluctuations of American market during Great Depression, instead of Filipino production being responsive to domestic demand by intertinking Philippines regions with one another
c. Post-war 'import substitution' policy beginning in 1947 focused on capital-intensive urban consumer goods rather than on resource-based agroindustrialization In provincial centers utilizing agricultural surplus
d. AlI of the above ",D,d,Correct,1
 112 ,"Republic Act 2264 empowered LGUs to form local planning boards to craft their development plans under the close guidance of national government agencies.
a. Local Governance and Planning Act of 1945
b. Local Autonomy Act of 1949
c. Decentralization and Devolution Act
d. Transparency and Accountability Standards Act",B,b,Correct,1
 113 ,"Through Presidential Letter of Instruction 367 in 1950 combining National Urban Planning Commission, Real
Property Board and Capital City Planning Commission, the government created this first physical planning body
a. National Planning Commission
b. National Disaster Coordinating Council
c. Human Environmental Protection Agency
d. Human Settlements Regulatory Commission ",A,a,Correct,1
 114 ,"In 1954, Reorganization Plan 53-A of the Government Survey and Reorganization Commission delineated _ regions
a. Nine - representing 9 rays of the sun in the Philippine flag or 9 historic territories which fought Spain
b. Eight - representing major ethno-linguistic groups
c. Four - representing major island-groupings plus Muslim territories
d. Six - representing possible component units of federal system ",B,b,Correct,1
 115 ,"In 1964, Republic Act 4341 established this center to create a pool of professional planners in the Philippines.
a. Local Government Academy
b. Development Academy of the Philippines
c. Institute of Planning
d. UPLB Institute of Environmental Science and Management ",C,c,Correct,1
 116 ,"Presidential Decree No. 01 Integrated Reorganization Plan on September 24, 1972 increased the number of Philippine regions to 11, regionalized key ministries and line departments, and created a major planning agency of government which is known today as
a. Philippine Economic Zone Authority
b. National Land Use Committee
c. Congressional Planning and Budget Office
d. National Economic and Development Authority",D,d,Correct,1
 117 ,"Presidential Decree 824 on February 27, 1975 created the Metro Manila Commission as the first-ever structure of metropolitan governance in the Philippines following the organizational mode! called
a. Annexation and Amalgamation (one-tier government)
b. Jurisdictional Fragmentation (Council of Local Governments)
c. Voluntary dustering and lnter-LGU
d. Functional Consolidation {two-lier metropolitan government)",A,a,Correct,1
 118 ,"What is the significant event in the history of planning in the Phiiippines that took place in 1983?
a. The creation of the National Urban Planning Commission
b. The adoption of the Integrated Reorganization Plan as P.O. 1
c. The creation of the National Land Use Committee
d. The enactment of Local Government Code. ",C,a,Wrong,0
 119 ,"Presidential Decree No. 01 Integrated Reorganization Plan on September 24, 1972 increased the number of Philippine regions to 11, regionalized key ministries and line departments, and created a major planning agency of government which is known today as
a. Philippine Economic Zone Authority
b. Congressional Planning and Budget Office
c. National Land Use Committee
d. National Economic and Development Authority ",D,d,Correct,1
 120 ,"In 2010, how many administrative regions do the Philippines have?
a. 13                c. 16
b. 15                d. 17 ",D,d,Correct,1
 121 ,"Which principle of Strategic Planning rallies the organization and unifies its members around a common purpose?
a. Be visionary to convey a desired end-state but be flexible enough to allow and to accommodate changes
b. Avoid excessive inward and short-term thinking
c. Establish priorities on what will be accomplished in the future
d. Engage stakeholders to pull together behind a single gameplan for execution ",D,d,Correct,1
 122 ,"In the ""Strengths, Weaknesses, Opportunities, Threats"" tool as popularized by exponents of Strategic Planning, the elements, aspects or characteristics that need to be reinforced, are enumerated under which quadrant?
a. 'S'                       c. 'O'
b. 'W'                      d. 'T' ",A,,,
 123 ,"Strategic Planning as described by Henry Mintzberg is called 'Innovative Planning' for following reasons except one
a. Because, as in strategies and tactics, a plan has to be calculating and even Machiavellian
b. Because it seeks to introduce a novel goal, product, process or pattern
c. Because it centers on organizational 'fitness' to create or shape change
d. Because it mobilizes the whole organization to move towards a new direction ",A,,,
 124 ,"Which school of thought maintains that planners should abandon their presumed neutral stance and instead adopt the side 'The poor and the disadvantage' to demand for corrective or remed1.al measures from the state and form the Market through 'pressure from below' by way of conflict confrontation, creative mass actions and backroom negotiations?
a. Equity or Activist or Advocacy Planning
b. Communicative Planning
c. Liberal Pluralistic Planning
d. Disjointed lncrementalism ",A,a,Correct,1
 125 ,"Who is the first proponent of Advocacy/Equity Planning?
a. Jane Jacobs                c. Lewis Mumford
b. Paul Davidoff               d. Benton Mackaye ",B,b,Correct,1
 126 ,"Who is the ""Father of Advocacy Planning""?
a. Robert Moses             c. Pierce F. Lewis
b. Paul Davidoff              d. Walter lsard ",B,b,Correct,1
 127 ,"A member of the advocacy/activist/equity school of planning, this planner wrote the classic ""Eight policies, Rungs in  the Ladder Citizen Participation"" which describes the varying degrees o people's involvement in policies, plans, and programs.
a. Ralph Nader
b. Susan S. Fainstein
c. Martin Luther King Jr.
d. Sherry Arnstein",D,d,Correct,1
 128 ,"Of the Eight-Rungs in the Ladder of Citizen Participation (1969) which 'steps' would require the planner to perform facilitation' role rather than 'advice,' 'direction,' or 'manipulation'?
a. Counseling; therapy
b. Consultation; placation
c. Informing
d. Partnership; delegated power; citizen control ",D,d,Correct,1
 129 ,"Who is the first proponent of Advocacy/Equity Planning?
a. Benton Mackaye           c. Paul Davidoff
b. Lewis Mumford             d. Jane Jacobs ",C,c,Correct,1
 130 ,"Which is a significant accomplishment of ""Advocacy Planning"" movement as fathered by Paul Davidoff (1965)?
                                                                                                                                                                a. Single women with children were assisted to find employment.
b. Social planning was moved from backroom negotiations into the open public forum.
c. Affirmative action and social amelioration were mainstreamed into national policy
d. Businesses were compelled to draw their employees from the ranks of the poor. ",B,b,Correct,1
 131 ,"Allocative' or 'regulatory' or 'policy planning' in the tradition of Herbert Gans and T J Kent is concerned with solving chronic problems of society by allocating resources efficiently and enacting laws, rules and standards. It is therefore closest to which planning approach?
a. Rational-comprehensive
b. Traditional or command planning
c. Strategic planning
d. Communicative planning ",A,a,Correct,1
 132 ,"This type of planning has also been ~alled 'synoptic,' _'s~atic , 'normative', and 'Utopian', because 1t assumes apnon that professional planners have the intelligence, noble intentions, and expertise to synthesize extensive data, analyze a relatively predictable world, and decide rightly on crucial question of boarder public interest
a. Equity or activist or advocacy planning
b. Traditional planning or command planning or imperative planning
c. Strategic Planning
d. Rational-comprehensive planning ",D,d,Correct,1
 133 ,"Allocative' or 'regulate ' or' olic lannin ' in the tradition of Herbert Gans and TJ Kent is concerned with solving chrome problems of society by allocating resources efficiently and enacting laws, rules and standards. It is therefore closest to which planning approach?
a. Equity or activist or advocacy planning
b. Traditional planning or command planning or imperative planning
c. Strategic Planning
d. Rational-comprehensive planning ",D,d,Correct,1
 134 ,"Role of environmental planner is to reconcile conflicting interests of contending groups in society.
a. regulator & policy advisor
b. designer & visionary
c. advocate & educator
d. mediator & facilitator ",D,d,Correct,1
 135 ,"According to David Harvey and Ray Pahl, planning is less a means for urban renewal, but more of ""an agent of change and development in its own right, linked to alternative theories of the city that seek to address poverty and inequality. Planners should be regarded as creators of urban space, not mere value-neutral arbiters of development proposals.
a. Critical/radical planning
b. Communicative planning
c. Liberal Planning
d. Activist planning ",D,d,Correct,1
 136 ,"The definition of the planning process as ""the process of determining goals and designing the means by which these goals may be achieved"" is attributed to whom?
a. Robert Young               c. Gunnar Myrdal
b. David Harvey               d. George Chadwick",A,a,Correct,1
 137 ,"He described goal formulation as the ""hingepin on which the rational planning process turns.""
a. Hugh Pomeroy             c. Gunnar Myrdal
b. David Harvey               d. George Chadwick ",D,d,Correct,1
 138 ,"The planner who said that 'survey' is a requisite for planning in the famous framework '.§urvey-Analysis-Plan' was
a. Demogriphus              c. Geddes
b. Herodotus                  d. Pericles ",C,c,Correct,1
 139 ,"Under the Systems Theory of Planning by Gear Chadwick-I and Alan Wilson, under which stage do policy-makers or decision-makers make a firm resolve to pursue a specific course of action?
a. System description
b. System modeling
c. System projection
d. System synthesis",D,d,Correct,1
 140 ,"The main contribution of Norbert Weiner's 'Cybernetics' to the Systems Theory of planning is the principle that planning should be
a. Cyclical, iterative, and self-correcting
b. Free-wheeling and open-ended
c. Wide-ranging and exhaustive
d. Rigorous, exact, and mathematical 
",A,a,Correct,1
 141 ,"The concepts of ""input-throughput--output-feedback"" comes from what school of planning?
a. Communicative Planning
b. Liberal Pluralistic Planning
c. Incremental Planning
d. Systems Theory of Planning",D,c,Wrong,0
 142 ,"These thinkers started the 'school of transactive plannin ' which later advocated the radical / ritical notion that
planning should smash myths and mobilize people to change structures of domination and subjugation in society
a. Francis Stuart Chapin, George Chadwick, Rexford Tugwell
b. Norman Krumholtz, John Friedmann
c. Paul Blumberg, Carole Paterman, Paul Bernstein
d. Charles Lindbloom, Robert Dahl, Mel Webber ",B,b,Correct,1
 143 ,"This school of thought claims that cities or human settlements can be studied as though they are biological
organisms subject to laws of evolution, natural selection, competition, adaptation, survival of the fittest, decline, and death.
a. Chicago School of Human Ecology
b. Dialectical Historical Materialism
c. AnarchoSyndicalism by Saul David Afinsky
d. Frankfurt School of Social Critical Theory",A,a,Correct,1
 144 ,"The development of planning the.ory after. World War 11 as influenced by the schools of policy planning, advocacy or equity planning, transactive planning and communicative planning has emphasized the core principle that
a. A plan should be a clear, concise and user-friendly document
b. A plan can only indicate piecemeal and incremental changes in process called 'muddling through'
c. Planning process is as important as planning output
d. The poor and the marginalized always know what is best for society ",C,c,Correct,1
 145 ,"The City Model shows that the relatively affluent live closest to the CBD, the middle-class
residential zones occur in the inner-city areas, and lowincome squatter settlements occur in the periphery. This
pattern is also similar to the urban structure of Southeast Asian Cities.
a. Latin American                    c. Concentric Ring
b. Concentric Zone                  d. Radial ",A,a,Correct,1
 146 ,"In this urban form, the nodes support the major center as its captive market while providing neighborhood facilities and services to its area of influence. Also, a number of additional mixed-use growth areas will be developed outside the Poblacion area or existing center of development.
a. Galaxy                            c. Centric and Nodal
b. Concentric                      d. Radial and circumferential ",C,c,Correct,1
 147 ,"In Peirce Lewis' revision of the Ernest Burgess' monocentric model of urban land use, which of the following  describes the spatial decline of concentric cities least effectively?
                                                                                                                                                                                     a. The elite and their business leave the inner core due to pollution and congestion.
b. Hollowing-out of the core results in ""the donut space""
c. Surrounded by the poor in the historic center, government increasingly becomes captive to
pressure groups
d. Land values rapidly fall in inner-city areas experiencing urban blight and urban decay. 
",C,a,Wrong,0
 148 ,"In the concentric ring theory, this is the zone where only scattered residences remain -
i. Zone 1
ii. Central Business District
iii. Zone in Transition
iv. Downtown
                                                                                                                                                                                     a. i, ii and iv only           b. iii and iv only        c. i, iii, and iv only          d. iii only",D,d,Correct,1
 149 ,"In the concentric ring theory, this is the zone where only scattered residences remain
a. Zone 1                 c. Zone in Transition
b. CBD                    d. Downtown ",C,c,Correct,1
 150 ,"Which theorist of urban land use states categorically that land use follows transportation· the same manner that both population and business follow roads?
a. Ernest Burgess               c. Peirce Lewis
b. Homer Hoyt                    d. Chauncey Harris & Edward Ullman",B,b,Correct,1
 151 ,"In the model of Homer Hoyt, the sections of urban land with the highest values are those:
a. Downtown sections facing seas, lakes & near waterfronts
b. On top of hills and elevated areas called 'uptowns'
c. Immediately around public offices I institutional sector
d. Along major roadways ",D,d,Correct,1
 152 ,"Urban developmenr tends to occur along major transportation routss because
a. Power/water connections and other utilities etc are naturally linear
b. Business cannot take place without roads and vehicles
c. Migration usually occurs lineally from A to point 8 such as in exodus, processions or diasporas
d. People tend to locate where exchange, interchange and access to other land uses are at maximum
",D,d,Correct,1
 153 ,"Urban development tends lo occur along major transportation routes regions
a. Population tends lo concentrate where transportation routes regions
b. Transportation facilities tend lo service areas where there is population
c. Both A and B
d. None of the above",C,c,Correct,1
 154 ,"Which of the following land-use models describes the pattern of radial or axial growth along lines of least
resistance?
a. Multiple nuclei                          c. Sector model
b Urban Realm                            d. Polycentric model",C,c,Correct,1
 155 ,"A central business district usually has a
a. High daytime population
b. Large concentration of office and retail activities
c. Large daily inflow and outflow of commuters
d. All of the above ",D,d,Correct,1
 156 ,"In urban land use models of the Chicago school of human ecology, the affluent and middle classes are inclined to move away from downtown ·and inner-city in favor of suburban locations and this process results in a paradox or ""spatial mismatch"" as regards labor.
                                                                                                                                                                a. Sophisticated upper classes locate in city-edges with semi-rural conditions where no employment is available
b. Lower-classes who cannot create employment by themselves are left to occupy high-priced land in the inner core of cities.
c. Blue-collar workers are forced to accept low-skill jobs as maids, yayas, and gardeners in affluent suburban subdivisions
d. Non-tax paying people in the informal sector are closer to the seat of government than the landed gentry",B,b,Correct,1
 157 ,"""Social status declines with increasing distance from the center of the city"" is a proposition about poor Third World countries that contradicts the original land use models from the Chicago school of human ecology.
a. Donut model
b. Core-Periphery Dependency model
c. Polycentric model
d. Inverse Concentric ",D,d,Correct,1
 158 ,"According to M. White (1987), the more economically complex a city, the more varied would be the number of high growth points, the more socially complex it becomes, and the stronger is its tendency towards differentiation such as in the case of residents segregating themselves into 'enclaves' according to economic level, social status or ethnicity.
a. Bi-polar Model
b. Palimpsest or Mosaic Model
c. Multiple Nuclei
d. Urban Land Nexus Theory",C,c,Correct,1
 159 ,"Which characteristic of megalopolis describes its tendency to develop a multi-nuclei or multi-nodal spatial pattern?
a. Is an expensive urban region with over 10 million populations (Giles Clarke)
b. Tends to be dependent on food, water and energy supplies of its neighboring regions
c. Has complex form as 'mother city' breed's smaller offspring-cities in dendritic or sprawling manner
d. Requires broad type of regional governance beyond the capacity and resources of a single LGU authority",C,c,Correct,1
 160 ,"Which of the following forces contribute/s to changes in the global system of cities:
i. Competition among cities, technical change
ii. Globalization; informational economy
iii. Environment; demography
iv. Privatization; deregulation
a. i and ii        c. i, iii and iv
b. iii and iv      d. i, ii, iii and iv",D,c,Wrong,0
 161 ,"Dr. Edward L. Glaeser of Harvard University (1995, 2003) correlates 'urban development' with 'democratization' in the following observations. Which statement pertain the most to so-called 'annihilation of space' in urban areas?
a. Information travels at high-speed in cities; transactions between producers and consumers are faster; cities practically eliminate the transport cost of moving ideas, goods, and people
b. Cities facilitate human contact and social connection; the demand for the cities is fueled by the demand for interaction
c. Because people in cities have high level of awareness, it is much harder for rules to be despotic or tyrannical.
d. Ineffective governments find it much harder to ignore mass poverty & other social problems in cities than in countryside",A,a,Correct,1
 162 ,"Which are parts of the centripetal forces that shape a city:
i. Congestion
ii. Lure of bright lights
iii. Threshold population
iv. Prestige of Central address
v. Maximum Accessibility
a. i, ii, iii, iv, v        b. ii, iii, iv, v         c. iii, iv, v          d. i, iii, iv, v",B,b,Correct,1
 163 ,"An example of this urban form is Lucban, Quezon.
a. The Ring       b. Core City       c. Urban Star    d. Dispersed Sheet",B,b,Correct,1
 164 ,"An example of this urban form is Koronadal City.
a. The Ring       b. Core City       c. Urban Star    d. Dispersed Sheet",C,c,Correct,1
 165 ,"An urban form prototype that is characterized by doughnut-like form; center kept open or at very low density surrounded by high-density developments & special activities.
a. Dispersed sheet    b. Core City       c. The Ring         d. Urban Star",C,c,Correct,1
,,,,,
 167 ,"An example of this urban form is La Trinidad, Benguet.
a. The Ring       b. Core City       c. Urban Star       d. Dispersed Sheet",A,a,Correct,1
 168 ,"An example of this are the early settlements prior to Spanish colonization.
a. The Ring
b. Core City
c. Urban Star
d. Dispersed Sheet",D,d,Correct,1
 169 ,"Private vehicles allowed in the fringes but may have to be curtailed in the center.
a. The Ring
b. Core City
c. Urban Star
d. Dispersed Sheet",C,c,Correct,1
 170 ,"No private vehicles; movement is by pedestrian on foot or on mechanical devices like elevators, escalators, conveyor belts.
a. The Ring
b. Core City
c. Urban Star
d. Dispersed Sheet",B,b,Correct,1
 171 ,"Circulation mainly by private vehicle but supplementary public transport is possible.
a. The Ring       b. Core City              c. Urban Star        d. Galaxy of Settlements",D,d,Correct,1
 172 ,"No trafficcongestions, no multi-purpose trips, only single purpose tnps.
a. The Ring            b. Core City            c. Dispersed Shee              d. Galaxy of Settlements",C,c,Correct,1
 173 ,"Which form is the most flexible?
a. The Ring      b. Core City      c. Dispersed Sheet         d. Galaxy of Settlements",C,c,Correct,1
 174 ,"Which forms are flexible?
i. The Ring
ii. Core City
iii. Urban Star
iv. Dispersed Sheet
v. Galaxy of Settlements
                                                                                                                                                                a. i,ii, iii          b. i, ii, iv          c. iii, iv          d. iv, v",C,c,Correct,1
 175 ,"Which forms are not flexible?
i. The Ring
ii. Core City
iii. Urban Star
iv. Dispersed Sheet
v. Galaxy of Settlements
                                                                                                                                                                a. i,ii, iii          b. i, ii        c. iii, iv          d. iv, v",B,b,Correct,1
 176 ,"Advancements in transportation and communication technologies have affected many cities in such a way that
information-based production can be done by anyone, anywhere at any time regardless of distance from city center. Which of the following is the likely spatial form arising from these economic trends?
                                                                                                                                                                a. Cyber-city sends all dirty smokestack industries to remote regions.
b. CBD becomes an elongated corridor or spine following the lines of telecommunications & electronic services
c. Suburban subdivisions form a belt-like edge or natural perimeter around the mother city
d. Edge cities, office parks and techno-poles develop in various parts of a complex mother city",D,d,Correct,1
 177 ,"The original concept of 'megalopolis' as an extended or super-sized urban area is attributed to.
a. Jean Gattman                           c. Dennis Rondinelli
b. Konstantinos Doxiadis               d. Andreas Faludi",A,a,Correct,1
 178 ,"By plotting on a graph the economic benefits from agglomeration against the costs of congestion and over
concentration, Leo Klaasen concluded that 'Optimum City Size' of a viable city should be between
a. 20,000-190,000
b. 200,000 - 600,000
c. 700,000 - one million
d. one million - two million",B,b,Correct,1
 179 ,"According to Wilbur Richard Thompson (1965),once a city reaches a resident population of 250,000, it attains
permanence. Certain city sections may suffer decay and decline, but the city as a whole will survive because o sheer size and strength of tertiary economy, inherent capacity to diversify and its political weight vis-a-vis other setllements.
a. Urban Land Lexus
b. Urban Ratchet Theory
c. Urban Spiral Economy
d. Urban Force Momentum ",B,b,Correct,1
 180 ,"Not all mega-cities become 'world cities'. According to David Simon in World City Hypothesis (1996), the following criteria determine how a c1fy reaches Tier 1 status. Which criterion is pursued as cities 'de-industrialize' by banishing dirty smokestack industries from their territories in the contest to achieve ""greater global competitiveness""                                                                                                                                                                                                                                                                                                 a. existence of a sophisticated financial and service complex serving a global clientele.
b. level of international networks of capital information and communication flows.
c. large number of headquarters of international institutions. . '
d. quality of life conductve to attracting investors and retaining skilled international migrants.",D,d,Correct,1
 181 ,"Which factors can act to limit urban growth?
a. Lack of Natural Advantages
b. Lack of Cultivated Talent
c. Failure of Momentum
d. All of the above",D,d,Correct,1
 182 ,"This concerns the arrangement, appearance and functionality of a whole town or city, in particular the shape
and form of city blocks, the uses of public space, the articulation of physical features in three dimensions, so that residents and visitors alike can make high-quality connections between people, places and buildings.
a. Cityscape and Streetscape              c. Urban Design
b. Form and Style                               d. Visual Panorama ",C,c,Correct,1
 183 ,"It is the creative combination of the built and unbuilt
environment.
a. Spatial Strategy
b. Land Development
c. Desired Rural Form
d. None of the above ",A,a,Correct,1
 184 ,"What concept is an active agent to control the shape, direction and intensity of the built environment so as to
preserve and conserve the unbuilt one.
a. Urban form                c. Urban intensity
b. Urban shape              d. Urban control ",A,a,Correct,1
 185 ,"Kevin Lynch stresses
a. A conceptual system focusing on urban form
b. A communications theory approach to urban growth
c. Accessibility concepts and urban structure
d. Urban spatial structure in the framework of equilibrium theory (an economic model of spatial structure)",A,a,Correct,1
 186 ,"Albert Z. Gutterberg speculates
a. A conceptual system focusing on urban form
b. A communications theory approach to urban growth
c. Accessibility concepts and urban structure
d. Urban spatial structure in the framework of equilibrium theory (an economic model of spatial structure) ",C,c,Correct,1
 187 ,"It is an internationally accepted term in conservation circles as an indicator of tangible cum intangible quality that defines a certain heritage resource, if not any locus of habitation.
a. Sense of place             c. Place of spirit
b. Genius loci                   d. None of the Above 
",B,a,Wrong,0
 188 ,"This is known as the ease with which the parts of the city can be recognized and organized in a coherent pattern -
a. Organization                c. Identifiability
b. Coherence                  d. Legibility ",D,d,Correct,1
 189 ,"In perceptual analysis, this refers to !he meanings that people attach to various parts of the urban area.
a. Legibility                      c. Quality of Life
b. Attractiveness              d. Symbolism ",D,d,Correct,1
 190 ,"This can be described as a mixed-use area that increases pedestrian trips and is close to public spaces.
a. Intersection                  c. Node
b. Edge City                    d. Nucleus ",C,c,Correct,1
 191 ,"Shaping places to support their varied intended uses; clearly
identifiable function for each area.
a. Function and fit (Principle of Scale & Proportion)
b. Complementary mixed uses (Principle of Unity and Cohesion)
c. Order and incident (Principle of Symmetry and Balance)
d. Legibility and Wayfinding (Principle of Simplicity) ",B,b,Correct,1
 192 ,"Locating activities to allow constructive interaction between them.
a. Function and fit (Principle of Scale & Proportion)
b. Complementary mixed uses (Principle of Unity and",D,,,
 193 ,"What is NOT a characteristic of urban design?
i. The process that planners employ to provide detailed guidance to the development of areas in the city.
ii. It seeks to realize the vision for an area by making the public realm more organized, aesthetically pleasing, and functional.
iii. It draws together the fields of planning and transportation policy, architectural design, development economics, landscape and engineering.
iv. It is the science of 'place-making' which enhances the value of a city and improves the quality of life of its people.
                                                                                                                                                                a. i, ii, iii          b. ii, iii, iv         c. iv only         d. none of the above ",D,d,Correct,1
 194 ,"What is NOT a principle of urban design?
i. Design for all
ii. Create places for people ,
iii. Conserve heritage
iv. Take advantage of compact design
v. Enrich the existing
vi. Make connections
vii. Work with nature
viii. Mix uses and forms
ix. Manage the investment 
x. Design for change
                                                                                                                                                                a. i, v, ix          b. iv only          c. i, v, vii, ix, x         d. vi, ix, x 
",B,,,
 195 ,"The following planners were most concerned about ""human scale and the social usage of urban space""
a. Davide Harvey, Manuel Castells, Ray Pahl
b. Robert Moses, William Levitt, Richard King Mellon
c. Jane Jacobs, Kevin Lynch, William H. Whyte
d. T J Kent, Edwin C. Banfield, Albert Z. Guttenberg ",C,c,Correct,1
 196 ,"It is the process by which middle class people take up residence in a traditionally working-class area of a city changing the character of an area.                                                                                                              a. Advocacy Planning                c. Social Exclusion
b. Radical Planning                    d. Gentrification",D,d,Correct,1
 197 ,"New Urbanism promotes                                                                                                                              a. Walkability
b. Mixed uses
c.Compactness
d.Nostalgic architecture ",B,b,Correct,1
 198 ,"The  major objective of 'New Urbanism' movement identified with Jane Jacobs, Leon Krier, Andres Duany, Elizabeth Plater-Zyberk, et.al. is to                                                                                                          a.Re-build the architectural facade of old cities using post modem methods and technologies
b.Revitalize urban communities by creating 'centers' and by reviving traditional civic values
c.Design gated subdivisions as urban college and multi-ethnic tapestry
d.Integrate development of both urban and rural areas in order to save as much farmland as possible",B,b,Correct,1
 199 ,The critique of 'New Urbanism' against so-called Gentrification' or up scaling of inner-city neighborhoods was  a. The latter is more interested in new business than in community re-building; hence soul less and center less b. The latter leads to the exclusion of low-income groups                                                                                c. The latter does not create mixed communities of varied socio-economic & demographic groups                    d. All of the above,D,d,Correct,1
 200 ,"All of the following schemes are associated with 'New Urbanism' except:                                                          a. Mixed Use Zoning
b. Exclusionary Zoning
c. Neo-traditional Design
d. Pedestrainization ",B,b,Correct,1
 201 ,"__________ is an approach to development that encourages a mix of building types and uses, diverse housing and transportation options, development within existing neighborhoods, and community engagement.                 a. Multi-nodal development                   c. Transit-oriented  development                                                          b. Place-making                                  d. Smart growth         ",D,d,Correct,1
 202 ,"Smart Growth Planning has which of the following as its goals?                                                                       a. environmental protection                     c. economic vitality
b. social equity                                      d. All of the above 
",D,d,Correct,1
 203 ,"_________  is used to describe a type of development and the regulatory process that permits a developer to meet overall community density and land use goals without being bound by existing zoning requirements.         a. Eco-centric urban design
b. Planned unit development
c. New Urbanism
d. Multi-functional land use",B,b,Correct,1
 204 ," It is a.n integrated development scheme wherein a defined area is comprehensively planned as a unitary entity such hat innovations in site design and building design are rewarded by government with some flexibility in zoning,usually relaxation of standards or their replacement with negotiated agreement between the developer and the LGU.                                                                                                                                              a. Enterprises Zone
b. Sites and Services model
c. Zonal Improvement Program
d. Planned Unit Development",D,d,Correct,1
 205 ,"What are the key characteristics of New Regionalism?                                                                                   i. A focus on specific territories and spatial planning                                                                                      ii. A response to the problems of a metropolitan region                                                                                   iii. Integrating environmental, equity and economic goals                                                                                iv. Emphasis on urban design                                                                                                                       v. A more activist stance by the planners                                                                                                                                                                                                                                                                         a. i ii and iii                    c. iii, iv and v
b. il, iii and iv                  d. All of the above ",D,d,Correct,1
 206 ,"A township Square is used in described land in the Government Survey method, how big is a township square?
a. There is no standard size for a township square.
b. 6 Square miles
c. 36 Square miles
d. 1 Square mile ",C,c,Correct,1
 207 ,"This started as a US federal program in 1949 which aimed to rehabilitate the outworn or decaying sections of any town by extending fund assistance to LGUs to undertake improvements in streetscapes, park, greenways, housing, community centers, etc based on anticipation that future tax revenues from real estate will pay for present's costs.                                                                                                                                                            a. Land re-adjustment
b. Urban Restructuring
c. Infill and densification
d. Urban Renewal ",D,d,Correct,1
