,SCORE,,,162,81%,
 97 ,"According to NEDA, the ‘’economic rate of return’’ (ERR) is usually;
a. The same as the Accounting Return on Investment
b. Calculated with Taxes, Natural Losses and Depreciation
c. Interpolated from IRR and Net Present Value
d. Discounted total benefits minus Total cost",C,C,Correct,1,D
 98 ,"The following are the central; questions of planning management. Which question seeks to determine efficiency or success of a chosen option or course of action?
a. Where we are now?
b. Where are we going?
c. Where do we want to go?
d. How do we get there?
e. What resources do we need to get there?
f. How do we know if it is working?",F,d,Wrong,0,
 99 ,"Which should come first in casual order in this series or chain of complex interconnected problems?
a. Climate change
b. Unmanaged Population Growth
c. Poverty
d. Land use changes
e. Pollution and Environmental Degradation
f. Carbon Footprint",B,d,Wrong,0,
 100 ,"According to David Satterthwaite, 95% of deaths and serious injuries from major disasters in the period 1950 – 2007 occurred in low-income to middle-income counties, and 90% of these deaths happened to the poorest people. Which conclusion is supported by this
information?
a. Poverty, which means low income and low education, is the major cause of disaster
b. Countries in typhoon belts and ring-of-fire earthquake regions of the world tend to be poor because of frequent disasters
c. Poverty and its physical dimension, i.e, location of homes and livelihood
d. The poorer a country, the higher illiteracy rate, hence the less informed and less prepared people tend to be",C,c,Correct,1,
 101 ,"In general, this refers to the characteristics of a process or state that can be maintained at a certain level indefinitely; in particular, it refers to the potential longevity of ecological systems to support humankind and other species
a. Resilience
b. Endurance
c. Sustainability
d. Perpetuity
e. Durability",C,c,Correct,1,
 102 ,"According to theorist of Social Development and Sustainable Development, what is the relationship between the concepts of Growth and Development?
a. These two realities are essentially similar, hence, interchangeable in use
b. Growth refers to the entire macro-economy while development refers to people and society
c. Growth is pre-condition to development but not enough in itself; it is necessary but not sufficient
d. Growth is merely quantitative while development is thoroughly qualitative
e. Growth is indicated by income and infrastructure, while development is indicated by tranquility, peace and order",c,C,Correct,1,C
 103 ,"Which school of thought maintains that planner should abandon their presumed neutral stance and instead adopt the side of ‘the poor and the disadvantages’ to demand for corrective or remedial measures from the State and from the Market by way of conflict confrontation, creative mass actions as well as backroom negotiations?
a. Equity Planning or Advocacy Planning
b. Communicative Planning
c. Liberal Pluralistic Planning
d. Command Planning or Imperative Planning",A,a,Correct,1,
 104 ,"According to David Harvey and Ray Pahl, planning is less a means for urban renewal, but more of “and agent change and development, linked to alternative theories of the city that seek to address poverty and inequality. Planner should be regarded as creators of urban
space, not mere value-neutral arbiters of development proposals.”
a. Critical/radical planning
b. Communicative planning
c. Liberal planning
d. Activist planning",a,A,Correct,1,
 105 ,"Which principle of Strategic Planning rallies the organization and unifies its member around a common purpose?
a. Solve major issues at a macro level
b. Avoid excessive inward and short-term thinking
c. Be visionary to convey a desire end-state but be flexible enough to allow and to accommodate changes
d. Engage stakeholders to pull together behind a single game plan for execution
e. Establish priorities on what will be accomplished in the future
f. Communicate to everyone what is most important",d,D,Correct,1,
 106 ,"In strategic planning, what is the criteria to determine the best strategic option?
a. Lucrative and profitable
b. Viable and feasible
c. Critical and urgent
d. Benign and munificient",c,C,Correct,1,
 107 ,"Dr. Gideon Sjoberg (1933) claims that cultural exchange from trade and commerce in pre-industrial era fostered the formation of cities, as literate individuals, craftsmen, and toolmakers came together to debate and test each other’s ideas. Competitive among non-farming
specialist gave birth to the “scientific method” as well as to technological advances in plant cultivation and animal breeding.
a. Acculturation and inculturation
b. Socio-cultural theory of urbanization
c. Diffusion of technology information
d. The scientific revolution",B,b,Correct,1,
 108 ,"Which is a major contribution of classical Greek civilization 700-404 BCE to town planning?
a. Polytheism or pantheon of greek gods which sanctified all elements of nature as being animated by divine spirit
b. The delineation between religious space & secular civic space as separate but complementary spheres in society
c. The concept of ‘polis’ or (Latin) ‘civitas’ which means that only residents of cities can truly be called ‘civilized’
d. The practice of direct democracy which recognized the rights of women, slaves, foreigners and the marginalized",B,b,Correct,1,
 109 ,"They were considered the earliest regional planners in history (27 BCE – 410 AD) because they planned their cities and settlements with transport network, utilities, civil works and military defense, foremost in their minds?
a. Macedonian Greeks under Alexander the Great
b. Romans under the dictatorial emperors
c. Persians under Cyrus the Great
d. Egyptians under Ramses, Thutmoses and Nefertiti",B,b,Correct,1,
 110 ,"Outside the walls of Medieval towns and cities, land was used collectively and defined as follows; ‘common of pastures’, ‘common of turbary’, ‘common of piscary’, common of leftovers, and ‘common of soil’. Which one refers to everyone’s right to take fish, game, or fowl from communal land?
a. Common of pastures
b. Common of piscary
c. Common of soil
d. Common of turbary",B,b,Correct,1,
 111 ,"According to Max Weber in The Protestant ethic and Spirit of Capitalism (1904), what was the key factor in transition from the mercantile economies controlled by European monarchies to profit-driven free enterprise or laissez faire?
a. Endemic corruption in highly structured Catholic society made people less imaginative and less entrepreneurial
b. Lutherans and Calvanists generally emphasized simplicity, thrift, discipline, savings and re-investment of savings
c. Royal treasures went bankrupt due to Catholics’ culture of excess, lavish celebrations, overindulgence etc.
d. Protestants work without the baggage Seven Capital Sins such as greed, avarice, envy, lust, gluttony etc.",b,b,Correct,1,
 112 ,"The first grid-iron or orthogonal street pattern in continental America was design in 1682 by
a. William Penn for Philadelphia, Pennsylvania
b. Pierre Charles L’Enfant for Washington DC
c. Peter Minuit for Manhattan Island, New York
d. John Winthrop for Trimountaine, Boston Common",a,a,Correct,1,
 113 ,"The milestone that marked the start of Industrial Age in 1769 and changed the mode of economic production was the
a. Discovery of crude oil, coal, and gas as fuels
b. Invention of steam engines as source of power
c. Invention of printing press to propagate scientific knowledge
d. Invention of trains, trams and rail for faster movement of goods",b,b,Correct,1,
 114 ,"At the start of 19th century industrialization in England before the emergence of full pledged professional planners, who were the earliest planning practitioners who addressed urban problems including germ versus filth dilemma/debate?
a. Microbilologists, biochemists, pharmacists
b. Shelter specialists, housing developers, contractors
c. Industrial engineers, machine engineers, civil engineers
d. Doctor, epidemiologists, sanitarians, public health personnel",d,d,Correct,1,
 115 ,"Supervised by Sir Raymond Unwin, the first Garden City (1903 – 1920) built in the United Kingdom was
a. Letchworth
b. London
c. Welwyn
d. Hampstead",a,a,Correct,1,
 116 ,"“Make no little plans. They have no magic and probably themselves will not be realized. Make bog plans; aim high in hope and work, remembering that a noble, logical diagram once recorded will never die…”
a. Leone Battista Alberti
b. Daniel H. Burmham
c. Baron Georges Eugenes Hausmann
d. Pierre Charles L’Enfant",b,b,Correct,1,
 117 ,"“First we shape our buildings; thereafter, our building shape us.” This quotation is attributed to
a. Winston Churchill
b. George Washington
c. Theodore Roosevelt
d. Napoleon Bonaparte",A,a,Correct,1,
 118 ,"Among the City Beautiful Movement planners, he was the earliest to articulate the principles of urban design in “City Planning According to Artistic Principles” (1889)
a. Camilo Sitte
b. Ildefons Cerda
c. Lucio Costa
d. Oscar Niemeyer
e. William Burley Griffin",a,a,Correct,1,
 119 ,"“A town is a tool for free man to overcome chaos and lack of order… A city is the grip of man upon nature… Geometry is the means whereby we perceive the external world and express the world within us… Geometry is the foundation… Machinery is the result of Geometry… The age in which we live is therefore essentially a geometric one… Town planning demands uniformity in detail and a sense of movement in general layout…”
a. Gordon Cullen
b. Le Corbusier
c. Aldo Rossi
d. Thomas Sharp
e. Roy Worskett",B,b,Correct,1,
 120 ,"Frank Lloyd Wright proposed an alternative (1932) to the congestion in metropolis by way of urban decentralizations where in each American family would be granted one acre of federal land in a self-contained, agro-industrial settlement
a. Eco-city
b. Broadacre city
c. Exurbia
d. Micropolis
e. Suburbia",b,b,Correct,1,
 121 ,"He led the crafting of the regional ‘Greater London Plan of 1944’, he designed some of 30 post-war New Towns approved by the British Parliament for 1.25 million people, including Doncaster area and east Kent, in which he used open space as structuring element
a. Sir Patrick Leslie Abercrombie
b. Sir Patrick Geddes
c. Lewis Mumford
d. Charles Abrams",a,a,Correct,1,
 122 ,"As Chief Planner of New York City, he collaborated with Thomas Adams in the crafting of the “Regional Plan of New York and its Environs 1922 – 1931”; he also conceived, and executed public works costing $27 billion between 1924 and 1968 and was responsible for virtually every parkway, expressway, and public housing project in New York metropolitan area.
a. William Levitt
b. Fiorello La Guardia
c. Robert Murray Haig
d. Robert Moses
e. Warren Buffett",d,d,Correct,1,
 123 ,"If “World Heritage Day” is marked each year on April 18, ‘World Biodiversity Day’ is observed on May 22, ‘World Ocean Day’ on June 8, ‘World Indigenous Peoples Day’ on August 9, ‘World Animal Day’ on October , and ‘World Food Day’ on October 16, when is ‘World Water Day’ celebrated?
a. January 13
b. March 22
c. June 24
d. October 31",b,b,Correct,1,
 124 ,"Under the plaza complex pattern described in “Leyes de las Indias” (1573), what would be located to each other around a Greco-Roman quadrangle of a Spanich colonial settlement?
a. Garden, fountains, monuments, statues, gallery and promenade
b. Governor’s mansion, bishop’s palace, general’s manor, hacendero’s villa, military garrison
c. Church, town hall, school, public market
d. Houses of peninsulares, insulares, creoles, mestizos, principals and ilustrados",c,c,Correct,1,
 125 ,"During the Spanish colonial period, there were four major forms of land tenure or land holding. Which one refers to the right of a ‘servant of Spanish Crown’ to collect tribute from a residents of a territory without any ownership claim over that territory?
a. Friar lands
b. Encomeiendas
c. Haciendas
d. Townships",b,b,Correct,1,
 126 ,"Public lands act of 1903 granted homesteads to 1.4 million Filipinos families covering 5.3 million hectares, principally in
a. Negros Island
b. Palawan
c. Mindanao
d. Samar Island",c,c,Correct,1,
 127 ,"According to Dr. Ernesto Pernia (1983), the major blunder in Philippine economic policy and industrialization strategy occurred in the latter period of American colonial rule when
a. Free trade agreements with USA narrowed Philippine agricultural output to cash crops for export such as sugar, tobacco, hemp, coconut, palm, rice, and timber
b. Progress of Philippine agricultural regions was tied directly to fluctuation of American market during Great Depression, instead of Filipino production being responsive to domestic demand by interlinking Philippines regions with one another
c. Post-war ‘import substitution’ policy beginning in 1947 focused on capital-intensive urban consumer goods rather than on resources-based agro-industrialization in provincial centers utilizing agricultural surplus
d. All of the above",d,d,Correct,1,
 128 ,"Republic Act 2264 empowered LGUs to form local planning boards to craft their development plans under the close guidance of national government agencies
a. Local Governance and Planning Act of 1945
b. Local Autonomy Act of 1949
c. Decentralization and Devolution Act
d. Transparency and Accountability Standard Act",B,b,Correct,1,
 129 ,"In 1954, Reorganization Plan 53 – A of the Government Survey and Reorganization Commission delineated _ regions.
a. Nine – representing 9 rays of the sun in Philippine flag or 9 historic territories which fought spain
b. Eight – representing major ethno-linguistic groups
c. Four – representing major island-groupings plus Muslim territories
d. Six – representing possible component units of a federal system",b,b,Correct,1,
 130 ,"In 2011, how many administrative regions does the Philippine have?
a. 13
b. 15
c. 16
d. 17",D,d,Correct,1,
 131 ,"This school of thought believes that cities or human settlements can be studied as though they are biological organisms subject to laws of evolution, natural selection, competition, adaption, parasitism, survival of the fittest, decline and death
a. Dialectical Historical Materialism
b. Disjointed Incrementalism
c. Frankfurt School of Social Critical Theory
d. Chicago School of Urban Ecology",d,d,Correct,1,
 132 ,"This school of thought holds that settlements form in a balanced manner; they tend to be spread evenly and symmetrically in isotropic space, displaying both hierarchy and equilibrium arising from the interdependence between big and small settlements and from the complementation between their respective scopes of functions.
a. Galaxy of Settlements Theory
b. Central Place Theory
c. Geographic Determinism
d. Dependency Theory",b,a,Wrong,0,
 133 ,"In Walter Christaller’s Central Place Theory, the catchment area of a central place takes the shape of a hexagon rather than a perfect circle. If a particular service or function such as neighborhood school enrolment is represented by the formula, “C = 2.6r2d” what would be the catchment area of school if radius is .05km and diameter is one km?
a. 0.65 sq.km
b. 0.75 sq.km
c. 0.85 sq.km
d. 0.95 sq.km",a,a,Correct,1,
 134 ,"All of the following are practical applications of Central Place Theory in the Philippine, except one
a. Location of health centers
b. Location of trial courts
c. Location of beach resorts
d. Location of police stations",c,c,Correct,1,
 135 ,"‘Urban development’ tends to occur along major transportation routes because
a. Power/water connections and other utilities etc are naturally linear
b. Business can not take place without road and vehicles
c. Migration usually occurs lineally from point A to point B such as in exodus, Processions, or diasporas
d. People tend to locate where exchange, interchange, and access to other land uses is at maximum",d,d,Correct,1,
 136 ,"According to M. White (1987), the more economically complex a city, the more varied would be the number of high growth points, the more socially complex it becomes, and the stronger is its tendency towards differentiation as in the case of residents segregating themselves into ‘enclaves’ according to economic level, social status, or ethnicity.
a. Bi-polar model
b. Palimpsest or mosaic model
c. Multiple nuclei
d. Urban land nexus theory",c,c,Correct,1,
 137 ,"According to Wilbur Richard Thompson (1965), once a city reaches a resident population of 250,000, it attains permanence. Certain sections may suffer decay and decline, but the city as a whole will survive because of sheer size and strength of tertiary economy, inherent capacity to diversify, and its political weight vis-à-vis other settlements.
a. Urban land nexus theory
b. Urban ratchet theory
c. Spiral urban phases theory
d. Urban ecology",B,b,Correct,1,
 138 ,"By plotting on a graph the economic benefits from agglomeration against the costs of congestion and overconcentration, Leo Klaasen concluded that ‘Optimum City Size’ of a viable city should be between
a. 20, 000 – 190, 000
b. 200, 000 – 600, 000
c. 700, 000 – one million
d. 1 million – 2 million",b,b,Correct,1,
 139 ,"The original concept of megalopolis as an extended or super-sized urban area is attributed to
a. Jean Gottman
b. Konstantinos Doxiadis
c. Dennis Rondinelli
d. Andreas Faludi",a,a,Correct,1,
 140 ,"Which characteristics megalopolis suggest its tendency to develop a multi-nuclei or multi-nodal spatial pattern?
a. Is an expansive urban region with over 10 million population
b. Tends to be dependent on food, water and energy supplies of its neighboring regions
c. Has complex form as ‘mother city’ breed smaller off-spring cities in a dendritic or sprawling manner
d. Reuiqres broad type of regional governance beyond the capacity and resources of a single LGU authority",c,c,Correct,1,
 141 ,"Not all megacities become world cities. According to David Simon in World City Hypothesis (1996), the following criteria determines how a city reaches Tier 1 status. Which criterion is pursued as world cities de-industrialize by banishing dirty smokestack industries from their territories in the contest to achieve greater global competitiveness?
a. Existence of a sophisticated financial and service complex serving a global clientele
b. Level of international networks of capital information and communication flows
c. Large number of headquarters of international institutions
d. Quality of life conducive to attracting investors and retaining skilled international migrants",D,d,Correct,1,
 142 ,"The following are common characteristics of a central business district. Which one expands the daily responsibilities and burdens pf the LGU that has jurisdiction over a metropolitan CBD?
a. Large concentration of office and retail activities
b. High price of land forces property-owners to build high or to expand vertically
c. Significantly large number of tertiary-level jobs generated
d. Daytime population higher than nighttime resident population; large regular inflow and outflow of motorists",D,d,Correct,1,
 143 ,"Klaasen enumerates the criteria of creating planning regions as follows. Which criterion pertains to the role of a leading center or a complex of exporting firms or lead industries?
a. Must be large enough to take investment decisions of an economic size
b. Must be able to supply its own industries with necessary labor
c. Should have a homogenous economic structure
d. Must contain at least one growth point
e. Must have a common approach to and awareness of its own problems",d,d,Correct,1,
 144 ,"Which thrust of regional planning addresses core-periphery, center-hinterland economic exchange & spatial integration?
a. Enforce urban growth control such as greenbelts or analogous schemes to protect the natural environment
b. Cultivate a role for each component-settlement such as administrative center, manufacturing hub, tourism zone, etc
c. Develop transport corridors with hub and spoke design with major infrastructure reaching out to population centers
d. Resistant development in flood plains or on earthquake fault zones by utilizing these areas as parks, farms, buffers, etc",c,c,Correct,1,
 145 ,"Which concern of regional planning pertains to institutional capacitation of local governments, and the appropriate distribution of authority among them?
a. Spatial integration between urban and rural settlements
b. Complementation among agriculture, industry, other sectors
c. Balance distribution of population
d. Federalism and decentralization of development
e. Equitable distribution of resources among places
f. Reduction of economic disparities among regions",d,d,Correct,1,
 146 ,"A region that is defined by common physical features such as resource base, lake coast, ecosystem is called natural or ecological region; while that which is defined by extent of economic connectedness or market exchange is called a functional regions; while that which is created by law regardless of natural economic commonality is called
a. Homogenous region
b. Formal region
c. Historic region
d. Virtual region",b,b,Correct,1,
 147 ,"The earliest regional planning models in America beginning in 1933 revolved around Tennessee Valley, Dallas Plain, Columbia River Basin, Colorado River, St. Lawrence Seaway, Delaware River, Ohio River Valley, which are essentially
a. Cultural or ethno-linguistic regions
b. Deltaic Riverine Region
c. Natural Regions
d. Crossborder Region",c,b,Wrong,0,
 148 ,"Although theoretically and definitionally flawed, “Super-Region” as conceive by the administration pf Pres. Gloria Macapagal Arroyo sought to build upon perceive comparative advantage of a cluster territories such as agri-processing, tourism, commodity logistics, or cyber-services. Which super-region ought to focus on agri-business?
a. Northern Luzon Quadrangle
b. Metro Luzon Urban Beltway
c. CALABARZON Industrial Heartland
d. Central Philippines (Visayas, Plawan and parts of Mindanao)
e. Subic-Clark Freeport complex
f. Bangsa Moro Juridical Authority",a,a,Correct,1,
 149 ,"The center-down paradigm of neo-classical economics of the 1960s assumed that benefits from national-level or macro-economic growth tend to _____ to component regions and lower-level communities
a. Cascade
b. Sprinkle around in spurts
c. Pour down
d. Trickle down",d,d,Correct,1,
 150 ,"In John Friedman’s (1966, 1973) taxonomy of regions according to economic condition, which refers to lagging regions?
a. Core regions
b. Upward transitional areas
c. Resources frontier areas
d. Downward transitional areas
e. Special problem areas
f. Latifunsio-minifundio",e,c,Wrong,0,
 151 ,"Which is not among the Philippine government strategies to attain concentrated decentralization?
a. Regional industrial centers
b. Special economic zone
c. Growth corridors, growths triangles, growth polygons
d. Agora and agurbia",d,d,Correct,1,
 152 ,"Which is not an element of the concept Special Economic Zone or ecozone under PEZA
a. Free trade zone
b. Financial banking center
c. Export processing zone
d. Industrial park or industrial estate",b,b,Correct,1,
 153 ,"RA 7916 reiterates Sec 12, Art XII of Philippine Constitution, “The State shall promote the preferential use of Filipino labor, domestic materials and locally produced goods and adopt measures that help make them competitive”. What technical planning concept pertains most aptly to this?
a. Inflow – outflow – backflow
b. Trickle up and trickle down
c. Economic nationalism or Filipinism
d. Forward linkages and backward linkages in production",d,a,Wrong,0,
 154 ,"Development process should be redefined in such a way that urban development promotes rural development while rural development supports urban development
a. Agropolis / agropolitan approach
b. Urban approach
c. Agro-based countryside development
d. Autonomous autarchic development",a,c,Wrong,0,
 155 ,"This sub-regional development approach of government from the mid-1970s to mid1990s refers to the necessary combination of agricultural, industrial and institutional activities in mutally reinforcing manner – fostering the growth of viable market towns or midsize cities that offer broad services and amenities meant to stabilize both population movement and agro-industrial growth, closely tied to, and integrated with, efficient agricultural production
a. Autonomous autarchic development
b. Integrated area development
c. Endogenous self-reliant development
d. Selective territorial closure",b,b,Correct,1,
 156 ,"Under RA 8550, what is the extent of municipal waters of a seaside town as measured from its shoreline?
a. 7 km
b. 10 km
c. 15 km
d. 20 km",c,c,Correct,1,
 157 ,"The taking of fishery species by passive or active gear for trade, business or profit beyond the level of subsistence fishing or sports fishing, utilizing marine vessels of 3.1 gross tons (GT) or more, is called
a. Municipal Fishing
b. Profitable Fishing
c. Commercial Fishing",c,c,Correct,1,
 158 ,"The Philippine is one of the 18 mega-diverse countries which together contains 2/3 of the world’s biodiversity. Philippines has over 30% of Southeast Asia’s coral reef cover, a sq km of which can produce between 30 – 40 metric tons of seafood annually. Which area is considered the most serious hotspot in rapid coral reef destruction?
a. Sulu
b. Boracay
c. Palawan
d. Mindoro",A,d,Wrong,0,
 159 ,"According to 1997 study on 775 coral formations by Dr. Edgardo Gomez and Dr. Helen Yap of UP Marine Science Institute, 30% of total Philippine coral reef cover is dead, 39% dying, 25% in fair condition, how much remains in excellent condition?
a. Approx. 5%
b. Approx. 8%
c. Approx. 26%
d. Approx. 31%",a,a,Correct,1,
 160 ,"Under RA 9174 “wildlife resources conservation and protection act”, jurisdiction overall declared aquatic critical habitats, all aquatic resources, including but not limited to all fishes, aquatic plants, invertebrates and all marine mammals, except dugong, including protected coral reefs, fish sanctuaries and marine reserves, belong to
a. Philippine Coast Guard and Bantay Dagat Patrol
b. DENR Protected Areas and Wildlife Bureau
c. Department of Agriculture
d. Department of Science and Technology",C,b,Wrong,0,
 161 ,"In the SEPP, ‘geology’ covers subsurface conditions, seismic fault lines, bedrock and mineral while patters of precipitation, temperature, humidity and wind are discussed under
a. Atmospheric and Astro-physical Sciences
b. Hydrology
c. Climate
d. Geo-morphology",C,c,Correct,1,
 162 ,"In contrast to the long-term skeletal-circulatory framework, this is the overall medium-term action plan utilized by every local administration to develop socio-economic development projects and implement sectoral, cross-sectoral, and multi-sectoral programs to be translated into public investment measures and incentives to private investment
a. Comprehensive Land Use Plan
b. Blueprint
c. Comprehensive Development Plan
d. Master Plan",c,c,Correct,1,
 163 ,"Which is not considered production land in a Philippines LGU?
a. Agro-industrial estate
b. Cropland
c. Orchard
d. Fishpond
e. Fish sanctuary",e,c,Wrong,0,
 164 ,"Which type of land use is most easily reversible or convertible to its original state?
a. Forest land
b. Memorial park
c. Infrastructure land
d. Commercial",a,a,Correct,1,
 165 ,"Which of the following is not a factor to determine suitability of land for agricultural use?
a. Climate and rainfall
b. Soil characteristic
c. Geologic fault lines
d. Slope",c,c,Correct,1,
 166 ,"What are the determinants of soil fertility for agricultural land use?
a. Soil moisture, water holding capacity, permeability, porosity, nutrient retention, mineralizable Nitrogen
b. Surface texture, soil particle size, soil structure, shrink-swell potential
c. Soil drainage, run-off and soil erosion by water and by wind
d. Clay, silt, sand, and parent material",a,a,Correct,1,
 167 ,"In agricultural land use planning, the soil characteristics of solum depth and clay-silt fraction that would insure good plants growth are
a. <50 cm and <80%
b. >100 cm and >80%
c. 50 – 100 cm and 40 – 80%
d. 10 – 50 cm and 10 – 40%",B,b,Correct,1,
 168 ,"In an output map of the computer-based graphic/mapping system, roads and sewerage are represented in the form called
a. Digital
b. Vector
c. Raster
d. Megapixel
e. Cellular automata",b,c,Wrong,0,
 169 ,"This is the process of putting two or more thematic maps on top of each other to determine areas of convergence of certain features of land contributing to the suitability of the area to a particular purpose and conversely, to eliminate or screen out areas that are not suitable for that purpose
a. Thematic superimposition
b. Cartographic merging
c. Sieve analysis
d. Spatial modelling
e. Auto-cad",A,c,Wrong,0,
 170 ,"According to Ernesto Serote, the FAO formula for urban land allocation at 5.7 hectares per thousand population does not seem to be realistic in highly-urbanized LGUs because of rapid pace of change, hence, to estimate urban land demand, this method entails time-series comparison of aerial photographs supplemented by on-foot survey of urban land
a. Urban Density Method
b. Urban Occupancy Method
c. City Land Census
d. Floor Area Ration",a,a,Correct,1,
 171 ,"In Ernesto Serote’s land use accounting, the following measures increase overall land supply for planning, except one:
a. Reclamation of coastal area
b. Infill and densification
c. Urban renewal and redevelopment
d. NPAAAD",d,d,Correct,1,
 172 ,"In Ernesto Serote’s method of estimating land supply, the following are withdrawn or deducted from total, except one
a. Environmentally critical areas
b. Grasslands and idle lands
c. High-risk geohazard zones
d. Military and civil reservations",b,b,Correct,1,
 173 ,"Under the design elements of Kevin Lynch, Quiapo church would be a landmark while Divisoria would be termed as
a. Central Marketplace
b. Icon
c. District
d. Nodule
e. Transshipment",C,d,Wrong,0,
 174 ,"Deisigned by Peter Calthrope (1993), this is compact, mixed-use urban area around a transport node, intermodal or rails station with commercial shops, offices, and homes within a pedestrian-oriented radius of 800 meters maximum, at density of 15 – 40 dwelling units per acre, all intended to maximize citizen access to public transport and encourage mass ridership
a. Inter-modal Motor City
b. Park & Ride
c. Transit-Oriented Development
d. Bus Rapid Transit",C,c,Correct,1,
 175 ,"City design of Paul Downtown where the balance of nature is central concern, operated by closed-loop systems that recycle energy, materials and resources, while minimizing waste through environ-preneurship. Its economy is based on knowledge and innovation such as hydrogen-powered mass transport, sky-gardens, parks on building rooftops, building-integrated solar system using photovoltaic skins, aeroponic and hydroponic urban farming on terraces, walls, facades and atria
a. Evergreen city
b. Sustainopolis
c. Ecopolis
d. Greenopolis
e. Verde ville",c,c,Correct,1,
 176 ,"Like a mould needed to control shape, the spatial strategy in CLUP is the creative physical arrangement of space-using activities used to influence the shape, direction and intensity of the built environment so as to preserve and conserve the unbuild environment
a. City Image
b. City Metaphor
c. Spatial Modelling
d. Urban Form
e. Urban Template",d,d,Correct,1,
 177 ,"The do nothing scenario or absence of spatial strategy allows to settlement to grow on its own like a dendrite or living organism without man-made controls and is called
a. Leapfrogging
b. Organic development
c. Crawling development
d. Checkerboard spreadsheet
e. Anything goes",b,a,Wrong,0,
 178 ,"This spatial strategy deliberately directs growth towards major roadways that emanate from a center like rays of a star
a. Radial/Axial/Sectoral
b. Central and Nodal
c. Multi-centric and poly-nodal
d. Concentric
e. Bi-polar and tri-polar",a,a,Correct,1,
 179 ,"What rational tool do planners use in selecting from alternative land use schemes?
a. Checklist of criteria
b. Linear programming
c. Cost-benefits analysis
d. Computer simulation",c,c,Correct,1,
 180 ,"Which of the following does not enhance connectivity towards creating sociable, livable, walkable, health-oriented communities?
a. Cul-de-sacs, curvilinear streets, steel gates on road/block corners; family pets wander & provide biodiversity excitement
b. School, church, community assembly center, plaza and sports facilities are located relatively close to each other
c. 300-m average distance of homes to variety of transport choices like buses, FX vans, and shuttles to railway stations
d. Bicycle lanes are delineated; strolling and biking promoted, ‘no-car policy’ declared on selected streets during holidays",a,a,Correct,1,
 181 ,"All of the following Land Use measures address Climate Change. Which one directly pertains to the carbon sequestration function performed by trees plants?
a. Design settlements and communities in a manner that reduces use of vehicles
b. Enforce energy-efficiency laws to cover buildings, homes and industrial design of appliances and appurtenances
c. Identify conducive locations and facilities projects that generates renewable natural energy.
d. Maintain buffer zones and protect undistributed lands with thick vegetative cover",d,d,Correct,1,
 182 ,"Which map is least relevant in preparing a Forest Management Plan that covers multiple LGUs at scale of 1:50,000?
a. Map of tribal or ancestral land
b. Elevation map
c. Density map
d. NIPAS map",c,c,Correct,1,
 183 ,"The DENR Environmental Management Bureau (2006) classified 525 of approximately 840 rivers and freshwaters bodies in the Philippines, of which 50 were biologically dead, 18 below Class C, 5 were Class AA, 203 were Class A. Which class of water is suitable for irrigation, livestock watering, farm operations, but not for human drinking?
a. Class B
b. Class C
c. Class D
d. Class E",c,c,Correct,1,
 184 ,"Dissolved Oxygen (DO) is the amount of oxygen dissolved in water and essential for healthy streams and lakes to support fish and aquatic life. When bacteria and waste decomposers abound in water, they multiply rapidly and consumes so much oxygen as to lower the DO level below the national standard of
a. 5mg/L
b. 10 mg/L
c. 15 mg/L
d. 20 mg/L",a,a,Correct,1,
 185 ,"Which of the following steps in the establishment of NIPAS area addresses overlapping LGU jurisdictions?
a. Compilation of technical maps & description of protected areas
b. Census and registration of protected area occupants
c. Public notification of coverage of protected areas
d. Boundary demarcation and monumenting",d,d,Correct,1,
 186 ,"According to DENR-FMB, Philippine has total forestland of 15.85 million hectares at average deforestation rate of 89, 000 hectares per year, approx. 7, 168, 400 hectares showed some form of forest cover by year 2003, of which only 950, 000 hectares remained as old growth primary forest. This last figure is equivalent to roughly ____ to total forestland
a. 5%
b. 6%
c. 7%
d. 8%",b,b,Correct,1,
 187 ,"According to DENR-FMB 2003, Philippine has total forestland of 15.85 million hectares, 1.5 million hectares are denuded and 5.7 million hectares are badly denuded. Under the 12-point agenda of forest management Bureau, which of the latter should have the highest priority in restoration and reforestation by engaging private sector investors
a. Cultivated areas and upland settlements
b. Shrub lands and marginal grasslands
c. Wooded grasslands
d. Swamps and marshes",b,c,Wrong,0,
 188 ,"Wilson (1992) estimates that 90% habitat loss of an area results in 50% reduction of number of species. Under RA 9174 “Wildlife resources conservation & protection Act”, a species or sub-species that faces high risk of extinction in the immediate future is called
a. Acutely Threatened Species
b. Critically Endangered Species
c. Species Vulnerable to Extinction
d. Rapidly Vanishing Species",b,b,Correct,1,
 189 ,"What color is used to represent industrial areas in zoning map?
a. Black
b. Gray
c. Violet
d. Blue",c,c,Correct,1,
 190 ,"What color is used to represent institutional areas in zoning map?
a. Brown
b. Beige
c. Blue
d. Purple",c,c,Correct,1,
 191 ,"What color is used to represent tourism areas in zoning map?
a. Orange
b. Red
c. Purple
d. Maroon",a,a,Correct,1,
 192 ,"National Framework for Physical Planning 2001 – 2030 notes a shift from rural resources-based environmental problems. Which of the following NFPP measures pertains to development control and urban growth management (UGBs)?
a. Delineate land available for restricted from settlement expansion
b. Identify and manage environmentally critical areas
c. Match land use and densities with environmental capacities and services capacities of infrastructure
d. Encourage appropriately planned mixed use development, transit use, pedestrianization and cultural/historical preservation in large urban centers",a,a,Correct,1,
