,1000 Questions,,,1,20%
 129 ,"Contour lines' on a topographical map Indicate 
(A) soil classes 
(B) types of forest cover 
(C) utility lines intersecting property tines 
(D) elevation intervals",D,,,
 130 ,"An 'analytical' map is a composite or overlay of two or more
(A) base maps 
(B) thematic maps 
(C) aspect maps
(D) chloropleth maps",B,,,
 131 ,"Which of those listed below is not a 'decision' map?
(A) physical constraints map 
(B) geohazard map
(C) land suitability ma 
(D) natural drainage map (rivers and streams)",D,,,
 132 ,"In preparing a site plan for a 5-hectate mixed use project in an urban area, which of following maps is least useful? 
(A) NAMRIA base map 
(B) LRA parcel map 
(C) utilities map from LGU Engineer 
(D) Phivolcs geologic map",A,,,
 133 ,"It is a computer system consisting of software and hardware components that are used to organize, store, process, analyze and display multiple layers of spatially-referenced information about geographically located features. 
(A) Geodesy and Geodetics 
(B) Global Positioning System
(C) Electronic Cadastral System 
(D) Geographic Information System",D,,,
 134 ,"Prior to the development or computer mapping software in the mid-1970s, spatial analysis was done manually by overlaying different thematic maps of the same scale, principally to determine 
(A) geohazards and physical constraints 
(B) areas that are Ideal for urban development
(C) critical areas for rehabilitation or intervention 
(D) all of the above",D,,,
 135 ,"All of the following tools are relevant to land use planning but one is least used in land use allocation?
(A) Land Use Accounting 
(B) Scenario Analysis 
(C) Life Cycle Analysis 
(D) Spatial Modeling",C,,,
 136 ,"Land Evaluation' and 'landscape Analysis"" are 
(A) the same and actually overlap 
(BJ both obsolete and no longer used 
(C) used by different sets of specialists for the same land use process 
(D) essentially at odds because one is scientific while the other is not",C,,,
 137 ,"In all but one of the following measures, Land Use Planning shapes the pace and direction of city/town growth. 
(A) expand physically municipal jail and stockade to address increased incidence in criminality
(B) propose roll-on roll-off port to hasten trade with coastal neighbors 
(C) identify which sections of territory are appropriate for low-rise, medium-rise, and high-rise structures. 
(D) define specific types of commerce that can be allowed in predominantly residential neighborhoods",A,,,
 138 ,"ln all but one of the following measures, Land Use Planning works with Nature by conserving natural resources. 
(A) interconnect open space and greenways to provide refuge for wildlife 
(B) delineate clear town edges or greenbelts to protect surrounding farmland
(C) encourage quarrying near main rivers to generate substantial revenues for the municipality 
(D) create neighborhood pocket-parks and urban mini-forests to serve as lungs of the city/town",C,,,
 139 ,"In all but one of the following measures, Land Use Planning addresses global warming and climate change. 
(A) provide for locations of windmill farms as possible joint ventures with private sector 
(B) reward real estate projects that keep more than 40% of their total area as wooded open space 
(C) encourage intercropping of fruit trees and bio-fuel plants In lands designated for agroforestry
(D) transfer manufacturing firms to remote locations at least 10 kms away where their fumes can not reach homes",D,,,
 140 ,"In all but one of following measures, Land Use Planning addresses transport bottlenecks and congestion. 
(A) establish Floor-Area Ratio and population density ceilings for buildings in the Central Business District
(B) relocate inter-city bus terminals and freight terminals from the center of town 
(C) enforce pedestrianization, walking/biking in downtown sections that have vibrant bazaars, tiangges, and flea markets 
(D) prevent long queues of unruly crowds blocking several streets by padlocking cinemas that show pornographic films",D,,,
 141 ,"ln all but one of the following measures, Land Use Planning mitigates natural hazards and reduces disaster risk. 
(A) expand open space In flood-holding areas, evacuation routes, lifelines, and areas of unstable soil
(B) compel all real estate brokers and dealers to provide hazard disclosure to property buyers in geohazard zones 
(C) require 10-meter-deep foundations for bulky structures in places prone to recurrent liquefaction 
(D) redirect public funds for capital investment projects from tsunami-prone areas to locations of higher elevation",C,,,
 142 ,"This category forest at 1,000 meters elevation or more or with steep gradients at 50% or more, perform vital ecological functions and must therefore be kept perpetually in natural state and free from human intrusion.
(A) Everlasting Forest 
(B) Permanent forest 
(C) Mossy Forest 
(D) Primeval Forest",B,,,
 143 ,"This type of old-growth forest in tropical countries is dominated by broad-leaf trees which form thick canopy thus allowing little sunlight on the forest floor, and includes much-prized hardwood species such as red lauan, white lauan, red narra, tanguile, tiaong, almon, bagtikan, apitong, kamagong, yakal, and mayapis. 
(A) Dipterocarp Forest 
(B) Deciduous Forest 
(C) Coniferous Forest 
(D) Tropical Scrub Forest",A,,,
 144 ,"All but one of the following are sub-categories of Forest Reserve. 
(A) Permanent Forest 
(B) Critical River Watershed 
(C) Mangrove Forest 
(D) Military and Civil Reservations",D,,,
 145 ,"These are identified portions of land and water, remarkable areas, biogeographic zones, habitats of rare and endangered species- all set aside by reason or their unique physical and biological significance, to be managed to go enhance biological diversity, and to be secured from destructive human exploitation. 
(A) National Heritage 
(B) Bionetwork Reservations 
(C) Ecological Zones 
(D) Protected Areas",D,,,
 146 ,"This is a section of forestland with an area or at least 100-meter radius around rivers and springs which serve to capture freshwater sources being tapped for domestic water supply and irrigation. 
(A) Hydrologic Capture Zone 
(B) Eco-Park 
(C) Water Catchment Reserve 
(D) Escarpment",C,,,
 147 ,"Presidential Decree 1559 defines this natural region used in ecosystem-based planning as a relatively large area starting at the roof of mountain rivers and encompassing tributaries, streams, and the land surface whose rainwater run-off drains into a common, downstream point such as a lake, estuary, or coastal water body. 
(A) Drainage Basin 
(B) Rainforest 
(C) Flood plain 
(D) Watershed",D,,,
 148 ,"Under RA 7586 NIPAS Act of 1991, which type of protected area aims to assure ""the natural conditions necessary to protect nationally species, groups of species, biotic communities or physical features of the environment where these may require specific human manipulation for their perpetuation.'' 
(A) National Monument 
(B) Protected Landscapes and Seascapes
(C) Resource Reserve  
(D) Wildlife Sanctuary",D,,,
 149 ,"A Protected Area Management Plan guides a declared ''natural biotic area'' under RA 7586. Under which sections of f 'ecological zoning' might Indigenous Peoples, tenured migrants and/or other residents 'be allowed to collect and utilize natural resources using traditional methods that are not In conflict with biodiversity conservation' 
(A) strict protection zone & habitat management zone 
(B) Sustainable Use Zone & Multiple Use Zone
(C) cultural zone & restoration zone 
(D) Special Use Zone and Buffer Zone",B,,,
 150 ,"Under RA 7586, poor communities occupying sections of forestland continuously for at least 5 years prior to legal proclamations, who are dependent on the forest for subsistence, are considered ""tenured migrant communities"" and are engaged by government to undertake reforestation and upland management under this specific program. 
(A) Agro-Forestry 
(B) Sloping Agricultural Land Technology
(C) Integrated Social Forestry 
(D) Industrial Forestry",C,,,
 151 ,"Under RA 9175 Chainsaw Act of 2002, one of the following does not possess a chainsaw in a legal manner.
(A) has a subsisting timber license agreement production sharing agreement or a private land limber permit 
(B) is duly elected official of upland barangay 
(C) is an orchard and fruit tree farmer 
(D) is a licensed wood processor who cuts only limber that has been legally sold 
(E) is an industrial tree farmer",B,,,
 152 ,"Based on FAO framework, which component of Watershed Management needs to engage umber companies, upland concessions, and sawmills to the highest extent possible? 
(A) Irrigation, water harvesting, control of land and water pollution 
(B) pastureland protection and improvement
(C) gully control, rehabilitation of landslips and landslides, control of road erosion 
(D) forest protection and improvement, streambank protection, and sustainable mining",D,,,
 153 ,"This broad category refers to land deliberately kept undeveloped for its contribution to the amenity value of the environment. It offers opportunities for adventure recreation or passive leisure at low-cost, and at the same time, serves as protection buffer around sensitive areas and hazardous installations. 
(A) Wilderness 
(B) Tourism & Recreation Zone 
(C) Rangeland 
(D) Open Space",D,,,
 154 ,"These are lands capable of intensive use or cultivation over time and can sustain the productivity levels of crops in a given climatic region without adversely affecting the immediate or adjoining environment. 
(A) agro-industrial estate 
(B) prime agricultural land 
(C) alluvial fans 
(D) ricefields or mud paddies",B,,,
 155 ,"To conserve farm soils by means of bio-engineering, all of the following methods are useful except one. 
(A) use of coco-coir geotextile on erodible soils 
(B) use of rows, furrows, ridges and ditches 
(C) use of terraces and contours on sloping land 
(D) use of soil compactors 
(E) mulching and recycling of organic matter 
(F) cover crops and shelterbelts against wind erosion",D,,,
 156 ,"To conserve freshwater by means of bio-engineering, all of the following methods are useful except one: 
(A) subterranean drilling for geothermal steam 
(B) partially grassed waterways 
(C) mini-dams and dikes to slow down stream flow to the sea 
(D) small water impounding projects (SWIP)
(E) rainwater harvesting thru man-made ponds, small farm reservoirs (SFRs)",A,,,
 157 ,"These areas are so called because they pose serious dangers to human settlements due to their high susceptibility to, among others, landslides, subsidence, sinkholes, erosion once their topsoil is exposed. 
(A) 'geohazards' 
(B) ""brownfields' 
(C) 'environmentally critical' 
(D) 'naturally forbidden'",C,,,
 158 ,"PD 1067 Water Code of 1976 Article 51 requires a three-meter easement from the banks of creeks, canals, and esteros, in urban areas, but MMDA Resolution 3 s. 1996, expanded the easement for Metro Manila areas adjoining water bodies as measured from the banks of Pasig River, tributary streams and the shoreline, to be at least 
(A) 10 meters
(B) 20 meters
(C) 40 meters 
(D) 5 meters",A,,,
 159 ,"Because of public need for salvage zone, how far should a residential property be from the banks of rivers, streams and waterways in a rural farming area? 
(A) 5 meters 
(B) 20 meters 
(C) 40 meters 
(D) 100 meters",B,,,
 160 ,"This refers to rights of landowners along a water body to use the water for their economic needs provided they return to the same body the water in similar quality. 
(A) Riparian Rights 
(B) Hydrologic Rights 
(C) Rights of First Use 
(D) Riverine Rights",A,,,
 161 ,"A 'central business district' (CBD) usually has the following characteristics except one – 
(A) daytime population higher than nighttime pop'n 
(B) large concentration of office and retail activities
(C) large daily inflow and outflow of commuters
(D) Wide array of environmental amenities",D,,,
 162 ,"A physical location where industry and/or commercial development is deliberately directed; done either to reduce growth pressures elsewhere in the city or to redistribute growth within a city. 
(A) Growth Node 
(B) Growth Hub 
(C) Growth Mole 
(D) Growth Polygon",A,,,
 163 ,"Which of the following is not a factor to determine suitability of land for heavy Industrial use?
(A) load-bearing capacity 
(B) location 
(C) slope 
(D) soil fertility",D,,,
 164 ,"This refers to the division of a community into districts or sections according to present and potential uses of land in order to maximize, regulate, and direct their use and development 
(A) Districts & Precincts Planning 
(B) Subdivision Development 
(C) Boroughs and Wards 
(D) Zoning",D,,,
 165 ,"The total area of permitted building space expressed as a proportion of the total site is known as:  
(A) Gross Leasable Area 
(B) Site Development Formula 
(C) Floor Area Ratio 
(D) Location Quotient",C,,,
 166 ,"The second law of thermo-dynamics states that no man-made or natural process operates with 100% efficiency and therefore, waste is inherent in all nature, and waste will always be generated. 
(A) Thermal Wasting 
(B) Atrophy 
(C) Entropy 
(D) Dissipation",c,,,
 167 ,"Under Philippine zoning codes, a family-run commercial-scale piggery with more than 10 heads of swine should be properly located in 
(A) general residential zone (R-1) 
(B) slaughterhouse and abbatoir zone 
(C) agro-industrial zone
(D) rangeland and pastureland",C,,,
 168 ,"Under Philippine zoning codes, a mixed-use seven-storey structure with residential condominiums, offices, gyms, shops and boutiques should be properly located In –
(A) general residential zone R-1 
(B) commercial zone C-3 
(C) tourism recreational zone 
(D) special economic zone",B,,,
 169 ,"This refers to a kind of ad-hoc or arbitrary zoning that allows a small piece of land to deviate from the district or zone regulations for reasons not found in the officially-approved CLUP. 
(A) flexible zoning 
(B) mixed use zoning 
(C) euclidean zoning 
(D) spot zoning",D,,,
 170 ,"""Performance standards' refers to health, safety, and amenity as main determinants of land use while  ""-----"" refers to determination of land use by considering time and distance as the primary units of measurement;
(A) Convenience Standards 
(B) Technical Standards 
(C) Expediency Standards 
(D) Contingency Standards",A,,,
 171 ,"Performance zoning according to noise levels (e.g. 55 decibels for Land Category B, US Federal Highway Administration) would benefit churches, schools, libraries, and residences while performance zoning according to air quality standards (i.e emissions) would most affect which fixed locations? 
(A) vulcanizing and auto repair shops 
(B) large manufacturing establishments
(C) seaports and wharves 
(D) rotunda and street intersections",B,,,
 172 ,"A device usually given at the enactment of Zoning Ordinance which grants property owner relief from certain provisions of ordinance because the application of the same would result in a particular hardship to the owner.
(A) Exceptionality 
(B) Certificate of Non-Conformance 
(C) Dissension 
(D) Variance",D,,,
 173 ,"All but one of the following are valid grounds to seek special case treatment or relaxation of zoning provision in relation to a development project. 
(A) The unusual shape of the site precludes designing a structure that would meet yard requirements. 
(B) The existing structure has been declared historically significant by the city and must be saved at any cost 
(C) Proposed deviation constitutes only a minor encroachment and will not alter the character of the neighborhood. 
(D) Both area of the site and proposed development are consistent with that of other lots in the immediate vicinity.",D,,,
 174 ,"Sea-level rise, coastal surges, coral reef damage, biodiversity decline, altered landscapes, increased frequency and severity of storms, floods, fires, and droughts; heat-related diseases, failed harvests and economic losses, are among the known disasters that arise from – 
(A) tectonic and geologic movements partly caused by the push and pull of inter-planetary or astrophysic forces 
(B) natural variability of atmospheric, hydrospheric, and biogeochemical cycles which all have wayward patterns
(C) long-term disturbance of atmospheric and meteorological conditions caused by anthropogenic sources 
(D) natural heating of the Earth as it is pulled closer to the Sun at the rate of 3 inches per completed orbit",C,,,
 175 ,"This observed phenomenon refers to increase in global-average annual mean temperature of the Earth's near- surface air and oceans, of about± 0.18 ᵒC since the 1950s, due to altered composition of the atmosphere, which i has been attributed to sharp increase in greenhouse gas (GHG) emissions contributed by humans. 
(A) Air Pollution 
(B) Ozone Depletion 
(C) Greenhouse Effect 
(D) Global Warming",D,,,
 176 ,"RA 9729 ""Climate Change Act of 2009"" created a Climate Change Commission composed of a commissioner and two deputy commissioners whose principal planning function, among other functions, is to 
(A) cascade policies & programs to LGUs with respect to climate change adaptation, risk mitigation, preparation etc 
(B) undertake scientific studies and similar projects to support proposed legislation 
(C) conduct capacity-building activities to vulnerable local communities 
(D) formulate a Framework Program on Climate Change",D,,,
 177 ,"United Nations defines it as 'the adjustment in natural or human systems in response to actual or expected climatic stimuli or their effects, which moderates harm or exploits beneficial opportunities'
(A) amelioration 
(B) adaptation 
(C) accustomization 
(D) acclimatization",B,,,
 178 ,"To better conserve energy in a community, planners may recommend each of the following except . 
(A) Encourage higher gasoline taxes 
(B) Encourage mixed use development
(C) Promote use of public transportation or mass transit 
(D) Use of solar energy for passive lighting, heating, and ventilation",A,,,
 179 ,"As a serious disruption of the functioning of a community or a society involving widespread human, material, economic or environmental losses and impacts, 'disaster is caused by the following, except one. 
(A) exposure to natural or environmental hazards 
(B) conditions of vulnerability and lack of human preparedness 
(C) insufficient capacity of community to reduce or cope with the negative consequences 
(D) injury and disease, loss of life, damage to property, destruction of assets, loss of services",D,,,
 180 ,"Which solution to reduce disaster vulnerability needs the longest-term and most comprehensive perspective? 
(A) environmental safeguards and natural protection 
(B) regulation of private and public infrastructure to ensure social protection 
(C) safer location for settlements 
(D) safer building construction",A,,,
 181 ,"It refers to the systematic efforts to analyze and manage the causal factors of disasters, through reduced exposure to hazards, lessened vulnerability of people and property, wise management of land and the environment, and improved preparedness for adverse events throughout a society. 
(A) Disaster Management 
(B) Disaster Planning 
(C) Disaster Resolution 
(D) Disaster Risk Reduction",D,,,
 182 ,"According to NDRRM Act or 2010, this is a management process that analyzes specific potential events or emerging situations that might threaten society or the environment by establishing arrangements in advance to enable timely, effective, and appropriate responses to such events and situations. 
(A) Risk Averse Planning 
(B) Crisis Management 
(C) Contingency Planning 
(D) Search, Rescue, Retrieval & Relief",C,,,
 183 ,"According to NDRRM Act of 2010, the following measures pursue 'disaster prevention' by taking action in advance to avoid potential adverse impacts of disaster. Which one prevents disaster the least? 
(A) stockpiling and pre-positioning of relief food/goods in strategic locations before occurrence of disaster 
(B) construction of dams, levees, & channel modifications as well as continuous dredging to reduce flood risks 
(C) land-use regulations based on hazard maps that do not permit any settlement in high-risk zones 
(D) seismic engineering designs of major structures; mandatory retrofitting of old buildings and tall houses 
(E) evacuation training and rescue drills in major facilities, centers, or areas that are always full of people",A,,,
 184 ,"lntegrated into ""risk-sensitive land use planning process.' which component of ""Risk Assessment"" examines and audits an institution's capabilities and resources to deal with natural hazards? 
(A) hazard identification and evaluation (e.g. analysis of frequency. severity/magnitude, return period or probability of a hazard of given severity) 
(B) vulnerability analysis (e.g. probable loss of life, injury, building damage, economic impacts) 
(C) potential damage assessment (e.g. monetary estimation of probable losses) 
(D) contingency measures, emergency response, quick reaction mechanisms",D,,,
 185 ,"Planning for flood control such as construction of major dams, levees, and embankments occurs at what level?
(A) Zoning District
(B) Town 
(C) Regional or Sub-regional 
(D) National",C,,,
 186 ,"As a result of the Ondoy-Peping disaster in September-October 2009, what type of planning can possibly interlink the ""Marikina Watershed', the ""Marikina Floodplain."" and ""Laguna de Bay' with their separate governing authorities, to jointly undertake adaptation, mitigation and prevention measures? 
(A) Ecosystem-Based Planning 
(B) Integrated Area Development 
(C) Reconstruction Planning by Special National Public Reconstruction Commission 
(D) Regional Planning by DENR's River Basin Control Office",A,,,
 187 ,"""Infrastructure Planning"" covers both 'replacement infrastructure' and 'new infrastructure for emerging areas.'' The following are important considerations in infrastructure planning, but which is first and foremost of all considerations? 
(A) capacity of infrastructure
(B) public safety and structural integrity
(C) level of service (LOS) and quality of service 
(D) age of infrastructure",B,,,
 188 ,"This document contains an LGU's proposed schedule of infrastructure projects listed in order of construction priority usually for a timeframe of 6 years together with cost estimates, anticipated means of financing, and commitment of public funds for the purchase, construction, or replacement of physical assets of the community.
(A) Physical Framework 
(BJ Annual Investment Plan 
(C) Capital-Venture 
(D) Capital Investment Program",D,,,
 189 ,"Any system or network of pipelines, ditches, canals, channels, or conduits including pumping stations, lift stations, force mains, digestive cesspools, other devices and appliances appurtenant thereto, which involves the collection, transport, pumping and treatment of liquid waste to a point of disposal. 
(A) waterworks 
(B) sewage treatment plant 
(C) sewerage 
(D) waste tunnels",C,,,
 190 ,"This defines the extent of land corridor that can be used for road, curb, sidewalk and associated drainage canals. 
(A) linear easement 
(B) buffer and gutter 
(C) right of way 
(D) setback",C,,,
 191 ,"A highway is a multi-lane, high-speed, controlled-access road that handles 'through-traffic' across multiple cities/towns; listed below are examples of highway except one. 
(A) freeway 
(B) expressway 
(C) tollway 
(D) causeway",D,,,
 192 ,"According to MPWH Highway Planning Manual 1982, each 3.5 meter one-directional lane in an expressway has an estimated capacity of _____ Passenger Car Units (PCU) per hour or roughly one vehicle every 2 seconds. 
(A) 1,000 
(B) 1,750 
(C) 2,000 
(D) 2,400",B,,,
 193 ,"What class of road is not part of a hierarchy? 
(A) arterial 
(B) venial 
(C) collector 
(D) distributor",B,,,
 194 ,"An 'avenue' is the main approach thoroughfare of most cities/towns: it is usually called a 'boulevard' when 
(A) it has historic significance and symbolic function 
(B) it is used for ceremonial parades and functions of State 
(C) it has medians which are carefully beautified 
(D) all the above",D,,,
 195 ,"The classic 4-step model of Transport Planning integrated with Land Use has all but one of the following phases: 
(A) Activity Systems 
(B) Trip Generation & Trip Distribution 
(C) Modal Split 
(D) Traffic Assignment",A,,,
 196 ,"In transport planning, the manual counting and classifying, by type of vehicle and direction of travel, of all conveyances passing each station during specified periods, supplemented by automatic traffic recorder counts extending over longer periods is called 
(A) travel cost method 
(B) roadside survey 
(C) windshield survey 
(D) network inventory",B,,,
 197 ,"This is a method of trip assignment which takes into account congestion on the transportation system and centers on determining traffic flow pattern for a known set of interzonal movements so that the relationship between journey time and flow on every link in the network should be in accordance with that specified for the link. 
(A) All-Or-nothing AON assignment 
(B) capacity restraint 
(C) diversion curves 
(D) shortest route method",B,,,
 198 ,"Traffic Impact Analysis (TIA) for specific development projects is required in all but one of the following cases:
(A) Condominium Tower with over 100 dwelling units 
(B) Factory with total gross area over 0.86 hectares
(C) Day care and kindergarten of around 2,000ml 
(D) Hospital with over 85 beds",C,,,
 199 ,"Level of Service 'E' is characterized as very 'heavy traffic' when 0.86-1.000 is the ratio between 
(A) traffic volume to road capacity 
(B) number of vehicles to length of motorway 
(C) number of people to number of vehicles 
(D) number of people to area of all roads",A,,,
 200 ,"Travel Demand Management (TOM) refers to a set of 'soft' measures to influence people's travel behavior so as to reduce or redistribute transport demand. TOM includes all of the following except one: 
(A) Ride Sharing and Car pooling 
(B) Bicycle racks on buses
(C) By-pass road 
(D) Number-coding or Color-Coding of vehicles on national highways",C,,,
 201 ,"It consists of strategies to improve the efficiency of transportation system through operational improvements such as bus priority or reserved lanes, signalization, access management, turn restrictions, which all seek to increase the demand that can be accommodated by the transport system. 
(A) Transport Engineering 
(B) Transit-Oriented Development
(C) Transport Infrastructure Improvement 
(D) Transport System Management",D,,,
 202 ,"Which one of the following strategies to solve traffic congestion belongs more properly to specialist engineers rather than to generalist planners? 
(A) Travel Demand Management 
(B) Transport System Management 
(C) Transport Infrastructure Improvement 
(D) Land Use Controls",C,,,
 203 ,"The following core elements oi Transport Policy can be examined more closely to address climate change, except one. 
(A) motor fuels and energy sources 
(B) role of mass transit versus private cars 
(C) ergonomics ol automobile seats, upholstery, and accessories 
(D) relationship between land use and roads in creating chokepoints",C,,,
 204 ,"In the ""Strengths, Weaknesses, Opportunities, Threats' tool as popularized by exponents of Strategic Planning, the elements, aspects or characteristics that need to be reinforced, are enumerated under which quadrant? 
(A) 'S' 
(B)'W' 
(C) 'O' 
(D) 'T'",A,,,
 205 ,"By taking into account both quantitative values and non-quantitative values, 'Planning Balance Sheet' is an 'extended' 'multiple-criteria' form of: 
(A) cost-revenue analysis 
(B) cost-benefit analysis 
(C) cost-effectiveness analysis 
(D) cost-estimate analysis ",B,,,
 206 ,"The hierarchic logic in LogFrame or ""Z.O.P.P"" starts with broad goals which are subsequently broken down into purposes, objectives, outputs, and activities.
(A) horizontal 
(B) vertical 
(C) lateral 
(D) diagonal",B,,,
 207 ,"Which essential elements of LogFrame or ""Z.O.P.P"" are used for plan monitoring and evaluation? 
(A) targets and quotas 
(B) indicators and means of verification 
(C) milestones and signposts 
(D) gauges and benchmarks",B,,,
 208 ,"What is the best use of a 'Gantt' chart? 
(A) Allocates time among various tasks 
(B) shows how different tasks are related 
(C) Illustrates how one task must be completed before beginning another 
(D) Utilizes a table with alternatives In rows and impact factors in columns",A,,,
 209 ,"Program Review and Evaluation Technique-Critical Path Method' (PERT-CPM) is a project management technique designed to 
(A) logically connect program and project 
(B) Mitigate effects of failed program 
(C) seek efficiency of time & resources in execution & implementation 
(D) Identify evacuation routes and remedy errors in disaster risk estimation",C,,,
,"Methods of Research, Demography, Shelter, Social Services ",,,,
 210 ,"This refers to population-focused planning thal seeks to enhance people's capacities to meet their own needs through improvements in 'social infrastructure' such as mass shelter, schools, hospitals, daycare, rehab centers, homes for the aged, etc. and the provision of public utilities, water, power, sewerage, parks and cemeteries.  
(A) Population Management 
(B) Social Welfare Development 
(C) Infrastructure Planning 
(D) Social Planning",D,,,
 211 ,"Because 'environmental planning' as a multi-disciplinary field utilizes the methods of social sciences, the following research approaches are more appropriate except one: 
(A) Experimental 
(B) Correlational 
(C) Causal-Comparative 
(D) Historical-Descriptive",A,,,
 212 ,"This refers to the broad type of social research whose central objective is to solve urgent problems. develop a tool or social technology, explain effects of policies or actions, and evaluate the impact of plans and programs on people. 
(A) Exploratory Research 
(B) Pure I Basic Research 
(C) Evaluation Research 
(D) Applied Research",D,,,
 213 ,"In scientific research, it refers to attribute of data that can take on different values; it may be a characteristic, trait or dimension of a person, object, process, or event that can be classified, measured, and studied. 
(A) Variable 
(B) Factor 
(C) Metrics 
(D) Coefficient",A,,,
 214 ,"In using descriptive statistics to study population and society, the three measures of central tendency are: 
(A) midpoint, minimum, and maximum 
(B) range,  frequency, and threshold
(C) occurrence, convergence, and divergence 
(D) mean, median, mode",D,,,
 215 ,"This measures the degree to which two variables are related but not necessarily in a cause-and-effect manner: 
(A) Coefficient of Correlation 
(B) Coefficient of Variation 
(C) Gini Coefficient 
(D) Chi-Squared Statistic",A,,,
 216 ,"In all distributions of data, the 'median' is equivalent to the:
(A) mode 
(B) variance 
(C) 50th percentile 
(D) mean",C,,,
 217 ,"Probability is at times used in relation to natural cycles with mean return period or recurrence interval. If a flood that recurs once in 100 years has an annual probability of one percent (0.01), what would be the annual probability of a 475-year earthquake?
(A) .0.475 
(B) 0.2375 
(C) 0.0438 
(D) 0.002105",D,,,
 218 ,"This branch of statistics aims to predict and draw conclusions concerning a population or its characteristics from mere sample chosen to represent the whole population. 
(A) descriptive statistics 
(B) deductive statistics 
(C) analytic statistics 
(D) inferential statistics",D,,,
 219 ,"ln a non-parametric test of correlation to determine if amount of fertilizer has anything to do with quantity of farm yield, the following crops were computed to have their respective 'difference of ranks²' (d²): rice = 1; com = 0; wheat = 0; beans = 0; mongo = 1. Given 'Spearman rho' formula 'r = 6∑d²/ n(n²-1)""what would be the 'r' value? 
(A) 1.1 
(B) 1.2 
(C) 0.9 
(D) 0.2",C,,,
 220 ,"In linear regression exercise where 'x = distance in km from Stock Exchange building"" and ''y = price in pesos of land per square meter, '' the line of best fit (LOBF) equation is ""y = .1000x + 26,000'' where -1,000 is the slope and 26,000 is the intercept. What would be the value of land per square meter if it were 15 kms from Stock Exchange? 
(A)14,000 
(B) 13,000 
(C) 12,000 
(D) 11,000",D,,,
 221 ,"This qualitative method from ethnography immerses the observer into the same conditions as those s/he is observing so that, in an uncontrolled environment, participants can surface their own ideas, mental categories, concerns, and behaviors as naturally and as spontaneously as possible. 
(A) Quasi-Experiment 
(B) Naturalism 
(C) Direct Observation 
(D) Participant Observation ",D,,,
 222 ,"Demography' is the study of human population using statistical methods. The demographic concepts described as sources of change in the size and magnitude of population are:
(A) sex, copulation, and gratification 
(B) births, deaths, and migration 
(C) mobility, morbidity and mortality 
(D) famine, war, and disease ",B,,,
 223 ,"An enumerative method of study which covers all the units of a population is called
(A) holism 
(B) Gestalt 
(C) sociology 
(D) census",D,,,
 224 ,"This refers to amount of population increase attributable to greater number of births than deaths per population without considering in-migration and out-migration. 
(A) Reproductive Rate 
(B) Average Growth Rate Per Annum 
(C) Population Shift
(D) Natural Increase ",D,,,
 225 ,"The simplified 'Rule of 69"" to determine population 'doubling time' gives the formula 'dt = 69.3÷r'; such that ii the Philippines AGR in 2000-2007 is 2.04%, the total Philippine population is expected to double in approximately 
(A) 32 years 
(8) 34 years 
(C) 36 years 
(D) 38 years ",B,,,
 226 ,"A remote village with 200 all-indigent households engaged in rainfed farming, with an average household size of 6, would likely grow arithmetically, due to isolation, poverty, disease, and lack of food. With their births-minus-deaths average of 30 persons per year, what would be the village's projected total population in 3 years? 
(A) 296 
(B) 380 
(C) 580 
(D) 1,290 ",D,,,
 227 ,"Town ABCDE had a total year-end population of 20,000 in 2007, 20,400 in 2008, 20,808 in 2009. Using geometric growth formula of P̞= P̥ (1+r)ᵗ at uniform r-2% per annum, what would be its total year-end population by 2010? 
(A) 21,224 
(B) 21,400 
(C) 21,820 
(D) 22,130 ",A,,,
 228 ,"This pattern of rapid population growth expressed by the formula P̞= P̥ eⁿ is 'seemingly without bounds"" and is called 'Malthusian; but is premised on the widespread abundance of food, which is not true in all places. 
(A) polynomial growth rate 
(B) parabolic growth rate 
(C) logistic growth rate 
(D) exponential growth rate",D,,,
 229 ,"'Baby Boomers'' refers to those born in the period 1946-1964, ""Generation X"" refers to those born in the year; 1965-1976, and 'Generation Y"" or 'Echo Boomers"" refers to those born in the years
(A) 1980-2000 
(B) 2001-2010 
(C) 1977-2000 
(D) 1975-2015",C,,,
 230 ,"The main difference between the 'economic method• of projecting population growth and the ''mathematical methods'' (arithmetic, geometric formulae, etc.) is that 
(A) The former takes into account movement of people white the latter only considers reproduction and deaths. 
(B) The former forecasts varying rates of growth of local economic output and creates alternative scenarios. 
(C) The latter does not consider 'force majeure' or recurrent natural disasters. 
(D) The latter is based upon the assumption of ""do nothing"" while the former ignores historic patterns.",B,,,
 231 ,"This theory propounded by James S. Coleman (1988), Robert Putnam (1993), Diane Camey (1998) and adopted by UNDP (1997), looks at collective non-market assets of people such as trust, solidarity, norms of reciprocity, common purpose, equality, and other resources that are inherent in social relations and embedded in social networks. 
(A) Theory of Social Change 
(B) Social Mobilization 
(C) Theory of Social Learning 
(D) Theory of Social Capital",D,,,
 232 ,"An indicator of ""Quality of life"" developed by Nobel Laureate Amartya Sen, this composite measure combines life expectancy at birth, school enrolment rate, adult literacy rate, per capita income, and incidence of poverty.
(A) Millennium Development Goals 
(B) Index of Sustainability 
(C) Human Development Index 
(D) GPI - Genuine Progress lndicator",C,,,
