,SCORE,,,142,95%
 104 ,"At present, the major environmental problem with nuclear power as source of electricity is
a. Shortage of uranium and plutonium
b. Disposal of radioactive waste
c. Melt-down of the core nuclear reactor
d. Large-scale combustion or explosion as in Japan, March 12, 2011
e. Fissures and leaks on building walls
f. GHG emission and air pollution",f,f,Correct,1
 105 ,"The process in which toxic and hazardous waste (THW) materials are injected into an underground rock layer is called
a. Fission
b. Sub-littoral deposition
c. Deep-well injection
d. Surface impoundment
e. Chemical neutralization",c,c,Correct,1
 106 ,"Exposure to cosmic rays, x-rays, ultraviolet rays, and radiation from radioactive substances may promote
a. The production of similar organisms
b. New inheritable characteristics
c. Hyper-active stimulation of internal organs
d. A change from sexual to asexual reproduction",C,c,Correct,1
 107 ,"Which of the following is the best example of ‘environmental remediation’?
a. A species of trout becomes extinct in a eutrophic lake
b. The annual volume of sewage flowing into a stream is decreased by one half
c. The height of a factory smokestack is increased
d. PCB-consuming bacteria are sprayed on an area that has soil contaminated with PCBs.
e. A parcel of forest land is declared a state park",d,d,Correct,1
 108 ,"Whereas the EIA of the 1970s has traditionally focused on the impact of specific projects on the environment, Strategic Environmental Assessment (SEA) focuses on
a. The impact of overall development programmes, plans, and policies on the natural environment
b. The methods to assess environmental damage and their negative impacts on society
c. The strategies to maximize impact of environment and natural resource utilization
d. The strategies to lessen environmental degradation as a necessary trade-off in development",a,a,Correct,1
 109 ,"Which of these does not improve the effectiveness of social participation?
a. Identify interested and affected parties in relation to the proposed development
b. Provide accurate, understandable, relevant & timely information
c. Ensure that decision-makers are kept at a distance from interested and affected parties
d. Incorporate public concerns into decisions",c,c,Correct,1
 110 ,"Public participation is important for each of the following reasons except
a. Decision-making competency improves
b. The legitimacy of the decision increases
c. The decision-making process is speeded up
d. Participants become more responsible democratic citizens",c,c,Correct,1
 111 ,"The ‘Anti-Graft and Corrupt Practices Act’ of the Republic of the Philippines is numbered as
a. Republic Act 3019
b. Republic Act 1530
c. RA 6040
d. RA 6969",a,a,Correct,1
 112 ,"According to the 1997 Code of Ethics for Environmental Planners in the Philippines, Sec. 11, the “primary obligation of the Environmental Planner is to”
a. “contribute to the incessant development of the profession by sharing and improving knowledge”
b. “strive for high standards of professional integrity, proficiency, and knowledge”
c. “develop and enhance a healthy professional relationship with colleages and other professionals”
d. “serve the country and in so doing safeguard public interest”
e. “maintain a harmonious working relationship with client or parner in a noble undertaking”",d,d,Correct,1
 113 ,"Which of the following is the role of the planner according to the APA Code of Ethics and Professional Conduct?
a. Assist in the clarification of community goals, objectives, and policies in plan-making
b. Strive to give citizens the opportunity to have a meaningful impact on the development of plans and programs
c. Have special concern for the long range consequences of present actions
d. Ensure that participation be broad enough to include people who lack formal organization or influence
e. All of the above",e,e,Correct,1
 114 ,"Which of the following ethical principles directly pertains to a planner’s responsibility to his/her private client?
a. Do not plagiarize
b. Do not accept work that cannot be performed in a timely fashion
c. Do not coerce others to each findings which are not supported by evidence
d. Do not disclose, without sufficient legal cause, privileged information clearly kept restricted by concerned party
e. When in authority and facilitating public hearings, do not make secret deals with participants",d,d,Correct,1
 115 ,"Which of the following is unethical practice of a registered environmental planner?
a. Falsely injures the practice of other environmental planners
b. Provides unjust compensation to colleagues and subordinates
c. Affixes signature on plans he did not prepare or supervise
d. Enters competition where s/he has direct in program formulation
e. All of the above",e,e,Correct,1
 116 ,"Which of the following is an actual conflict of interest?
a. Voting in public election on an environmental issue that directly affects your consulting services
b. Making official government recommendations on a site plan that you developed when you previously employed in the private sector
c. Accepting souvenir gifts from a housing developer at the vendors’ and sponsors’ area of a planners’ convention
d. Reporting to PRC an act of dishonesty by a planner about his supposed work experience in a job originally occupied by you.",b,b,Correct,1
 117 ,"In the Code of Ethics of Environmental Planners, to whom does the EnP have responsibility to seek opportunities for constructive service in civic and community affairs?
a. Own clientele
b. Professional organization
c. Public or Society-at-Large
d. Political Party in Power",c,c,Correct,1
 118 ,"Which of the following compensation methods applies to cases where the environmental planner’s personal time is rendered, such as at conferences, seminars, for a, ceremonial activities, etc?
a. Commission on total project cost
b. One-time lump sum fee
c. Regular retainers’ fee
d. Percentage cut of direct personnel services (PS)
e. Per diem plus reimbursement of actual expenses
f. Moderate their greed",e,e,Correct,1
 119 ,"A housing developer contacts you with an opportunity to use your expertise as a paid consultant in a matter not pertaining to your employer’s jurisdiction. You would work only on your off-days and holidays. You should
a. Report the housing developer for unethical behavior
b. Make courtesy notification to your immediate supervisor
c. Decline the offer
d. Keep quiet about it",b,b,Correct,1
 120 ,"A private sector planner is preparing a site plan for a private company. He intends to secure local government approval for his client’s development project since it could lead to additional work for him in the subsequent phases of the project.
a. This constitutes a conflict of interest
b. There is no conflict of interest in this case
c. There is variance in codal standards for public and private planners
d. The Code of Ethics has inadequate provision for this kind of dilemma",d,d,Correct,1
 121 ,"A group of concerned residents who live near a proposed petrol refinery takes their case to court and subpoenas the CPDC to testify. The CPDC provides some information to the citizens’ group as they prepared their case. He also testifies truthfully in court about the value of project to the community. The following are true about the behavior of CPDC, except:
a. The CPDC was acting in ethically responsible manner in trying to protect the integrity of the natural environment
b. The CPDC served the public interest by providing information to stakeholders preparing their case
c. The CPDC exhibited a concern for the long-range consequences of the proposed land use changes
d. The CPDC should not have testified in court because the “obey first before complain rule” means that a planner merely accepts the decisions of his/her principals.",d,d,Correct,1
 122 ,"In contrast to project managers in the private sector, project managers of public sector development projects are often handicapped operationally and forced to
a. Work without objectives
b. Work with contradicting objectives
c. Ignore objectives and concentrate on getting the job done
d. Spend much time in adjusting objectives to reality",d,d,Correct,1
 123 ,"According to Kerzner, a Project Manager should spend 90% of his/her time communicating. If you are manager of a team of 5, how many communication channels do you personally have in the team?
a. Four
b. Five
c. Twenty-four
d. Twelve",a,a,Correct,1
 124 ,"This is a deliverable-oriented hierarchical decomposition of the work to be executed by the project team to accomplish the project objectives and produce the required deliverables.
a. Multi-tasking Protocol
b. Work Breakdown Structure
c. Stewhart Deming Control Chart
d. Ishikawa Fishbone Diagram",b,b,Correct,1
 125 ,"If ‘pre-industrial society’ is mainly agricultural, kinship-based, self-sufficient, and relatively parochial, ‘industrial society’ in contrast
a. Minimizes farming to channel capital into factories
b. Prioritizes mining of minerals and precious stones
c. Aims for mass production through mechanization & automation
d. Relies on the output of white-collar professionals",c,c,Correct,1
 126 ,"Due to greater ‘division of labor’, there is more heterogeneity of population and classes of workers beginning with
a. Primitive subsistence society
b. Pre-industrial society
c. Industrial society
d. Post-industrial society",c,c,Correct,1
 127 ,"Built below the Acropolis in the heart of the citystate, the ‘marketplace’ was the site where ancient Greeks came together not only for trading and buying of foodstuff but also for political, social, and other secular activities.
a. Parthenon
b. Gymnasium
c. Erechtheum
d. Agora
e. Sumposion",d,d,Correct,1
 128 ,"In the biggest and most crowded city during Antiquity, poor residents of Rome (44 BCE) lived on units in multi-storey residential buildings which they rented but could not own; these were called
a. Abode
b. Domus
c. Apparte-ment
d. Tenema",b,b,Correct,1
 129 ,"According to the Chicago School of Human Ecology, ‘invasion’ refers to how pioneers and opportunists push the ‘land frontier’ farther out; when immigrants settle in waves, they define new land uses for themselves in a process called
a. Evolution
b. Co-location
c. Succession
d. Acclimatization
e. Cohabitation",c,c,Correct,1
 130 ,"This refers to a period in US planning history (1890s) when cities were conceived as total systems designed with broad circulation arteries, network of parks, cluster of focal buildings, and blocks of civic centers in aesthetic harmony.
(A) New Towns Movement 
(B) City Efficient Movement 
(C) City Beautiful Movement 
(D) City Functional Movememt",C,c,Correct,1
 131 ,"Which of the following is not a feature of Frank Lloyd Wright’s ‘Broadacre City’ (1932)
a. Each person regardless of age has one acre of federal land
b. Food garden or small farm would be right next to the house
c. Manufacture & commerce set up in twelve 15-storey buildings
d. Work within walking distance from the home
e. Railroad and freeway to interconnect cities
f. Densification would preserve much open space",f,f,Correct,1
 132 ,"An approach in urban planning that puts premium on people and nature by building upon the historic city or traditional neighborhood in such a way that workplaces, shops, and homes would be within walking distance of each other.
a. Neo-Populism
b. Eco-Village
c. New Urbanism
d. Dynapolis
e. Transit-Oriented Development",c,c,Correct,1
 133 ,"In Clarence Stein’s Six Principles of Regional Planning (1920), which one concerns traffic caused by roadside parking
a. Plan simply, but comprehensively
b. Provide ample sites in the right places for community use
c. Put factories and industrial buildings where they can be used without wasteful transportation of people and goods
d. Cars must be stored inside homes
e. Bring private land and public land into relationship
f. Arrange for the occupancy of houses",d,d,Correct,1
 134 ,"All of the following are true about urban planning except
a. Changing a city’s physical form does not automatically reshape social life
b. Planning always takes place within a framework of economic and political realities
c. Planners should be allowed to control all technical aspects of how cities are built
d. The goals of the planning experiments of the last century have not been met
e. Cities should be designed in a way that fosters economic, social, cultural, and environmental integration",b,b,Correct,1
 135 ,"In his “Theory of Good City Form”, he argued that ‘norms’ – such as vitality, sense, fit, access, control, efficiency, and justice – ought to characterize the performance of cities as settlements
a. Kevin Lynch
b. Edward Tollman
c. John Trawis
d. Camillo Sitte",a,a,Correct,1
 136 ,"What is the smallest unit in the ‘human settlements planning’ by Dr. Konstantinos Doxiadis (1951)?
a. House
b. Anthropos
c. Organism
d. Neighborhood
e. Hamlet",b,b,Correct,1
 137 ,"Which of the following is not part of typology of cities under Ekistics School of Dr. Konstantinos Doxiadis (1951)?
a. Ecumenopolis
b. Megalopolis
c. Metropolis
d. Agropolis
e. Eperopolis",d,d,Correct,1
 138 ,"Under RA 7160 LGC Sec. 25, one of the following is not among the types of cities in the Philippines
a. Highly Urbanized Cities
b. Independent Cities
c. Sister Cities
d. Component Cities",c,c,Correct,1
 139 ,"Under RA 7160 LGC Sec. 452, what is the minimum population requirement to approve a Highly Urbanized City?
a. At least 200,000
b. At least 500,000
c. At least 1 million
d. At least 10 million",a,a,Correct,1
 140 ,"In central place theory (1933), this refers to the minimum population required to make a ‘service’ viable.
a. At least 200,000
b. At least 500,000
c. At least 1 million
d. At least 10 million",a,a,Correct,1
 141 ,"In Walter Christaller’s Central Place Theory (1933), neighborhood store is an example of ‘first-order services’ while grocery store, gas station, furniture, and post office are examples of
a. Secondary services
b. Tertiary services
c. Quaternary services
d. Quinary services",b,b,Correct,1
 142 ,"Young dependents in the Philippine setting refers to population with ages
a. 0-4
b. 0-6
c. 0-10
d. 0-14",d,d,Correct,1
 143 ,"Old dependents in the Philippine setting refers to population with ages
a. 60 and above
b. 65 and above
c. 70 and above
d. 80 and above",b,b,Correct,1
 144 ,"Working-age population including those actively seeking and not seeking work, covers those with ages between
a. 10-65
b. 15-64
c. 18-65
d. 21-60",B,B,Correct,1
 145 ,"In the following formal statement on ‘population policy’ (2010-2016) from President Benigno Simeon Aquino III, which statement pertains to the State’s obligation to inform its citizens of all family planning alternatives from ‘A to Z’.
a. “…I am against abortion as outlawed by the Philippine Constitution.
b. “...I am in favor of giving couples the right to choose how best to manage their families so that in the end, their welfare and that of their children are best served.
c. “…The State must respect each individual’s right to follow his or her conscience and religious convictions on matters and issues pertaining to the unity of the family and the sacredness of human life from conception to natural death.
d. “…In a situation where couples, especially the poor and disadvantaged ones, are in no position to make an informed judgment, the State has the responsibility to provide complete information.
e. “…In the range of options provided to couples, natural family planning and modern methods shall always be presented as equally available",B,B,Correct,1
 146 ,"According to RA 9170, this refers to the strategy for making women’s as well as men’s concerns and experiences an integral dimension of the design, implementation, monitoring, and evaluation of policies and programs in all political, economic, and societal spheres so that women and men benefit equality and inequality is not perpetuated.
a. Integration & rationalization
b. Gender mainstreaming
c. Sexual equality
d. Transgender accommodation",B,B,Correct,1
 147 ,"Which of the following is not a part of the General Welfare Clause of RA 7160 LGC Section 16?
a. Hospitality and festivity
b. Economic prosperity technology
c. Balanced ecology and social justice
d. Health and safety
e. Preservation & enrichment of culture
f. Appropriate self-reliant science & technology",A,A,Correct,1
 148 ,"A duly-registered cooperative acquires a river-dredging machinery and wastewater treatment equipment. Should such acquisitions be subject to real property taxation under RA 7160 LGC Section 234?
a. Yes
b. No
c. It depends on the Local Chief Executive
d. Subject to the discretion of Assessor",B,B,Correct,1
 149 ,"Which of the following is not considered idle land under RA 7160 LGC Sec. 237?
a. Agriculture land of at least one-hectare with 50% of whole area bare and uncultivated
b. Urban land of at least 1,000 sq.m. with 50% of whole are unutilized and unimproved upon
c. Grazing land with thick grasses used for pasture of 100 heads of cattle
d. Stud farm on public land with no ongoing breeding or training activities",C,C,Correct,1
 150 ,"Under RA 7160 LGC, who among the following ‘incumbents’ may be allowed to practice his/her primary profession while in public office?
a. Local Chief Executive
b. Congressman/Representative
c. Vice-Governor
d. Municipal Accountant",C,C,Correct,1
,"END OF AREA 3: PLAN IMPLEMENTATION, LEGAL ASPECTS, AND ADMINISTRATION",,,,
