,SCORE,,,21,91%
 124 ,"In RA10587, reporting of exam results is for within 5 days, how many was it for PD1308?
a. 45 days                          c. 90 days                                                                                                                                                 b. 60 days                          d. 120 days",D,,,
 125 ,"In RA 10587, a new board is to be constituted in 6mos from the effectivity. In PD1308, how long should it be?
a. 30 days                         c. 3 months
b. 2 months                        d. 50 months",A,,,
 126 ,"In PD1308, members of the board needed at least 3yrs practice experience for ENP. In RA10587, how many yrs?
a. 7 years                           c. 10 years
b. 8 years                           d. 12 years",A,,,
 127 ,"If in RA10587, penalty includes min of P100k to max of P500k, how much was it in PD1308?
a. Min of 10K, Max of 50K
b. Min of 2K, Max of 5K
c. Min of 3K, Max of 7K
d. Min of 1 K, Max of 5K",B,,,
 128 ,"The enforcement of RA 10587 as well as the monitoring and inspection of education. institutions offering courses in environmental planning is the responsibility of the
a. Commission on Higher Education
b. Philippine Institute of Environmental Planners
c. Board of Environmental Planning
d. School of Urban and Regional Planning",C,,,
 129 ,"Whose signatures are in every page of the IRR of RA10587?
a. Commission Members                  c. APO
b. Board Members                          d. Legislators",B,,,
 130 ,"Role of an Environmental Planner: Advances the civic agenda of the general public
a. Regulator & Policy Advisor
b. Designer & Visionary
c. Mediator & Facilitator
d. Advocate & Educator",D,,,
 131 ,"You are the Local Planning and Development Coordinator of an LGU. Which of the following does NOT constitute a conflict of interest?
a. Accepting a monetary gift from a local building firm
b. Working for a developer who has an action before the Local Board of Zoning Appeals and Adjustment
c. Applying for business permit and health clearance to operate a private fruit stand in a marketplace
d. Processing a rezoning application of your own property",C,c,Correct,1
 132 ,"Objectives/Purposes of Environmental Planning under Society & Community except one:
a. Respond to problems/needs of society                                                                                                                                                                         b. Balance of private needs and command collective demands
c. Ensure sustainable development
d. Facilitate sourcing of funds for program/project implementation",D,,,
 133 ,"Objectives/Purposes of Environmental Planning under Planning/Management except one: 
a. Provision of national basis for reclassifying/control of land use
b. Basis for enacting zoning ordinances for balanced/orderly spatial development
c. Introduction of new planning/management trends for dynamic/responsive to needs of the place.
d. Wise utilization of resources (money/effort/time)",D,,,
 134 ,"Visions of the Environmental Planning Profession:
(i) To Society. Citizens enjoying high quality of life/economic growth in harmony with nature
(ii) To capacitate and guide communities and stake-holder group make rational plans as basis for decision-making on the sustainable development and management of the country's physical (land, water, air)
(iii) To profession. A vibrantlglobally competitive professional practice
(iv) to nurture internationally competitive Environmental Planners.
a. i &ii          b. ii & iv          c. i &iii          d. iii & iv",C,,,
 135 ,"General Functions/ Concerns of an Environmental Planner except one:
a. Plan formulation/preparation/ implementation, Programming (plan selection)
b. Project Planning/ Management! Evaluation/ Supervision
c. Community development/ management, Policy analysis, Public participation
d. Budgeting, Coordination/ Review",B,,,
 136 ,"Code of Ethics-PRBOEP: Which is NOT included as a responsibility of an EnP to the profession/organization:
a. Devote time effort/talentlresources for advancement of professionals and students
b. Share results of experience/research
c. Appropriate means of advertising
d. Serve as resource persons/speakers in public fora",B,,,
 137 ,"Which is NOT an advantage of an EnP in private practice?
a. Seasonal work
b. Simpler interpersonal relationships/not much pressure
c. Smaller organization, plenty of room to experiment
d. Competitive Income rates",A,,,
 138 ,"Which is NOT an advantage of an EnP in government practice?
a. Venue for inter-action with others in profession
b. Challenging I may innuence decision-making/implementation
c. Bureaucratic/administrative procedures/multi-layer decision- making
d. Stable/regular income",C,,,
 139 ,"Issues/ Problems of Environmental Planners regarding the Profession:
i. Not generally known/understood ,
ii. No representation in government agencies: Climate Change Commission, Disaster Risk Management / Councils, Local Development Councils
iii. Need for Department of Housing & Urban Development; Land Use/Development Code; need for EnPs in the legislature.
iv. Population explosion, uncontrolled urban growth; lack of discipline
v. Shortage of professional planners
vi. Climate change/greenhouse effect catastrophes; deforestationnand loss/loss of species, and other manmade activities
a. i, ii & v          b. iv & v          c. ii & iii        d. iii, iv, v & vi",A,,,
 140 ,"Issues/ Problems of Environmental Planners regarding the environment situation:
i. Not generally known/understood
ii. No representation in government agencies: Climate Change Commission, Disaster Risk Management Councils, Local Development Councils
iii. Need for Department of Housing & Urban Development; Land Use/Development Code; need for EnPs in the legislature.
iv. Population explosion, uncontrolled urban growth; lack of discipline
v. Shortage of professional planners
vi. Climate change/greenhouse effect catastrophes; deforestation/land loss/loss of species, and other manmade activities
a. i, ii &v          b. iv& vi          c. ii &iii          d. iii, iv, v & vi",B,,,
 141 ,"Which is NOT an ethical principle in EnP Professional Practice with regards to Earth/Environment?
a. Adopt models of consumption/production/reproduction
b. Protect/Restore places of outstanding/aesthetic/spiritual/scientific significance                                                                                                       c. Apply golden rule
d. Cultivate sense of shared responsibility",A,,,
 142 ,"Which are ethical p~inciples. i.n EnP Professional Practice with regards to Sustainable Living?
i. Practice non-violence and create harmonious relationship with people/earth
ii. Ensure opportunities to acquire knowledge/skills/values
iii. Justice in provision of potable water/clean air/food security
iv. Promote social development/eradicate poverty
v. Apply scientific knowledge in sustainable living/environmental protection
vi. Adopt models of consumption/production/reproduction
a. i ii iii iv & v          b. ii, iii, i v, v & vi            c. ii, iii, iv & vi           d. i, iii, iv & v",B,,,
 143 ,"Which are ethical principles. in. EnP Professional Practice with regards to People Part1c1pat1on/ Empowerment?
i. Treat all creatures with compassion/protect from cruelty or destruction ""
ii. Reaffirm vital roles of indigenous peoples in care/protection of Mother Earth
iii. Secure right to sexual/ reproductive health (especially for women)
iv. Promote youth participation as agents of change
v. Strengthen processes of all sectors' path
a. i, ii, iii & iv         b. ii, iii, iv          c. ii, iii & iv          d. i, iii, iv & v",B,,,
 144 ,"According to the PRC Code of Good Governance, what are the Specific Principles of Professional Conduct?
i. Service to others
ii. Integrity and objectivity
iii. Professional competence
iv. Solidarity and teamwork
v. Social civic responsibility
vi Global competitiveness
vii Equality of all professions
a. i, ii, iii, iv, v & vi          b. ii, iii, iv, v, vi           c. ii, iii, v, vi & vii          d. i, ii, iii, iv, v, vi & vii",D,,,
 145 ,"What are the basic skills an Environmental Planner should have?
i. Planning research methods
ii. Critical thinking skills
iii. Basic design skills
iv. Decision making techniques
v. Collaborative skills
vi Charismatic skills
a. i, Ii, iii, iv & v          b. ii, iii, iv, v & vi          c. i, ii, iv, & v          d. i, ii, iii, iv, v & vi",A,,,
 146 ,"Who among the following Environmental Planners? is a member of the Board of
a. Lirio T. Abuyuan
b. Doris A. Endriga
c. Carmencita L. Rosales
d. Josie M. Ramos",A,,,
 147 ,"In which year was the first Board of Environmental Planners actually formed?
a. 1978
b. 1993
c. 1992
d. 1998",B,,,
 148 ,"Who is the current president of the Philippine Institute of Environmental Planners?
a. Maria Theresa L. Quimpo
b. Patricia V. Palafox
c. Felino Palafox Jr.
d. Larisa Glenda Togonon-De Castro",A,,,
,End of Refresher-Planning-Law-Administration,,,,
